case:concept:name,concept:name,a:id,time:timestamp,org:resource,type
c1,REPAIR,5,2020-01-03 13:49:18.806784,34,EventType.ACTIVITY_COMPLETE
c9,DISASSEMBLY,1,2020-01-03 14:15:32.618477,7,EventType.ACTIVITY_COMPLETE
c9,ACKNOWLEDGEMENT,2,2020-01-03 14:16:41.459622,20,EventType.ACTIVITY_COMPLETE
c8,DISASSEMBLY,1,2020-01-03 14:24:01.782914,15,EventType.ACTIVITY_COMPLETE
c1,QUALITY_CONTROL,6,2020-01-03 14:43:10.722765,34,EventType.ACTIVITY_COMPLETE
c10,ACKNOWLEDGEMENT,2,2020-01-03 15:14:45.169142,10,EventType.ACTIVITY_COMPLETE
c12,ACKNOWLEDGEMENT,2,2020-01-03 15:17:56.316933,25,EventType.ACTIVITY_COMPLETE
c1,CREATE_INVOICE,7,2020-01-03 15:25:30.189010,15,EventType.ACTIVITY_COMPLETE
c2,SHIPPING,6,2020-01-03 15:29:17.221765,43,EventType.ACTIVITY_COMPLETE
c6,ACKNOWLEDGEMENT,2,2020-01-03 15:37:03.638531,22,EventType.ACTIVITY_COMPLETE
c7,DISASSEMBLY,1,2020-01-03 15:59:26.831215,39,EventType.ACTIVITY_COMPLETE
c10,DISASSEMBLY,1,2020-01-03 16:02:53.545182,28,EventType.ACTIVITY_COMPLETE
c14,RECEPTION,0,2020-01-03 17:02:21.868571,11,EventType.ACTIVITY_COMPLETE
c5,REPAIR,3,2020-01-03 17:09:13.599587,49,EventType.ACTIVITY_COMPLETE
c11,ACKNOWLEDGEMENT,2,2020-01-03 17:23:48.405350,30,EventType.ACTIVITY_COMPLETE
c12,DISASSEMBLY,1,2020-01-03 17:35:35.305820,13,EventType.ACTIVITY_COMPLETE
c4,REPAIR,5,2020-01-03 17:50:42.105456,6,EventType.ACTIVITY_COMPLETE
c8,REPAIR,3,2020-01-03 17:56:52.780015,7,EventType.ACTIVITY_COMPLETE
c13,RECEPTION,0,2020-01-03 18:03:58.181718,34,EventType.ACTIVITY_COMPLETE
c7,ACKNOWLEDGEMENT,2,2020-01-03 18:25:28.658372,24,EventType.ACTIVITY_COMPLETE
c6,REPAIR,3,2020-01-03 19:16:56.218202,20,EventType.ACTIVITY_COMPLETE
c11,DISASSEMBLY,1,2020-01-03 19:38:49.011406,21,EventType.ACTIVITY_COMPLETE
c9,REPAIR,3,2020-01-03 19:45:23.065138,31,EventType.ACTIVITY_COMPLETE
c1,SHIPPING,8,2020-01-03 20:11:56.619167,34,EventType.ACTIVITY_COMPLETE
c4,QUALITY_CONTROL,6,2020-01-06 07:27:18.480221,6,EventType.ACTIVITY_COMPLETE
c19,RECEPTION,0,2020-01-06 07:44:27.097979,8,EventType.ACTIVITY_COMPLETE
c5,QUALITY_CONTROL,4,2020-01-06 07:49:51.723585,18,EventType.ACTIVITY_COMPLETE
c8,QUALITY_CONTROL,4,2020-01-06 07:59:23.093821,26,EventType.ACTIVITY_COMPLETE
c20,RECEPTION,0,2020-01-06 08:51:46.100626,13,EventType.ACTIVITY_COMPLETE
c9,QUALITY_CONTROL,4,2020-01-06 08:53:21.942786,17,EventType.ACTIVITY_COMPLETE
c10,REPAIR,3,2020-01-06 08:56:13.811326,48,EventType.ACTIVITY_COMPLETE
c12,REPAIR,3,2020-01-06 08:58:40.561228,31,EventType.ACTIVITY_COMPLETE
c6,QUALITY_CONTROL,4,2020-01-06 09:04:09.568622,14,EventType.ACTIVITY_COMPLETE
c4,CREATE_INVOICE,7,2020-01-06 09:04:20.947552,5,EventType.ACTIVITY_COMPLETE
c9,CREATE_INVOICE,5,2020-01-06 09:20:33.035380,46,EventType.ACTIVITY_COMPLETE
c7,REPAIR,3,2020-01-06 09:35:22.994973,44,EventType.ACTIVITY_COMPLETE
c13,ACKNOWLEDGEMENT,2,2020-01-06 09:44:21.213057,0,EventType.ACTIVITY_COMPLETE
c11,REPAIR,3,2020-01-06 09:49:23.932454,38,EventType.ACTIVITY_COMPLETE
c19,ACKNOWLEDGEMENT,2,2020-01-06 10:09:18.447881,17,EventType.ACTIVITY_COMPLETE
c22,RECEPTION,0,2020-01-06 10:09:54.740944,6,EventType.ACTIVITY_COMPLETE
c14,ACKNOWLEDGEMENT,2,2020-01-06 10:13:45.531023,32,EventType.ACTIVITY_COMPLETE
c15,RECEPTION,0,2020-01-06 10:20:50.608541,36,EventType.ACTIVITY_COMPLETE
c20,ACKNOWLEDGEMENT,2,2020-01-06 10:53:49.173055,33,EventType.ACTIVITY_COMPLETE
c10,QUALITY_CONTROL,4,2020-01-06 11:11:57.169491,22,EventType.ACTIVITY_COMPLETE
c25,RECEPTION,0,2020-01-06 11:12:17.433964,26,EventType.ACTIVITY_COMPLETE
c12,QUALITY_CONTROL,4,2020-01-06 11:14:06.433197,14,EventType.ACTIVITY_COMPLETE
c24,RECEPTION,0,2020-01-06 11:24:29.093334,18,EventType.ACTIVITY_COMPLETE
c11,QUALITY_CONTROL,4,2020-01-06 11:38:27.600707,38,EventType.ACTIVITY_COMPLETE
c16,RECEPTION,0,2020-01-06 11:43:43.511829,16,EventType.ACTIVITY_COMPLETE
c29,RECEPTION,0,2020-01-06 11:57:25.933732,41,EventType.ACTIVITY_COMPLETE
c18,RECEPTION,0,2020-01-06 12:03:30.400603,21,EventType.ACTIVITY_COMPLETE
c7,QUALITY_CONTROL,4,2020-01-06 12:06:47.648147,0,EventType.ACTIVITY_COMPLETE
c17,RECEPTION,0,2020-01-06 12:12:09.683750,34,EventType.ACTIVITY_COMPLETE
c5,CREATE_INVOICE,5,2020-01-06 12:24:39.164522,48,EventType.ACTIVITY_COMPLETE
c13,DISASSEMBLY,1,2020-01-06 12:36:50.137651,27,EventType.ACTIVITY_COMPLETE
c14,DISASSEMBLY,1,2020-01-06 12:49:00.662011,20,EventType.ACTIVITY_COMPLETE
c21,RECEPTION,0,2020-01-06 12:49:18.780991,49,EventType.ACTIVITY_COMPLETE
c26,RECEPTION,0,2020-01-06 12:49:28.098131,30,EventType.ACTIVITY_COMPLETE
c9,SHIPPING,6,2020-01-06 13:02:41.100165,44,EventType.ACTIVITY_COMPLETE
c6,CREATE_INVOICE,5,2020-01-06 13:24:02.672482,5,EventType.ACTIVITY_COMPLETE
c31,RECEPTION,0,2020-01-06 13:28:46.391492,33,EventType.ACTIVITY_COMPLETE
c22,ACKNOWLEDGEMENT,2,2020-01-06 13:39:24.037999,17,EventType.ACTIVITY_COMPLETE
c23,RECEPTION,0,2020-01-06 13:47:31.217681,8,EventType.ACTIVITY_COMPLETE
c27,RECEPTION,0,2020-01-06 14:04:16.298025,1,EventType.ACTIVITY_COMPLETE
c7,CREATE_INVOICE,5,2020-01-06 14:31:09.754259,42,EventType.ACTIVITY_COMPLETE
c28,RECEPTION,0,2020-01-06 14:43:52.771597,25,EventType.ACTIVITY_COMPLETE
c30,RECEPTION,0,2020-01-06 15:02:58.162555,15,EventType.ACTIVITY_COMPLETE
c22,DISASSEMBLY,1,2020-01-06 15:10:08.685914,6,EventType.ACTIVITY_COMPLETE
c15,DISASSEMBLY,1,2020-01-06 15:21:59.028814,36,EventType.ACTIVITY_COMPLETE
c25,ACKNOWLEDGEMENT,2,2020-01-06 15:23:02.989264,14,EventType.ACTIVITY_COMPLETE
c29,ACKNOWLEDGEMENT,2,2020-01-06 15:25:02.722781,0,EventType.ACTIVITY_COMPLETE
c20,DISASSEMBLY,1,2020-01-06 15:34:03.802944,45,EventType.ACTIVITY_COMPLETE
c24,ACKNOWLEDGEMENT,2,2020-01-06 15:40:12.361390,34,EventType.ACTIVITY_COMPLETE
c4,SHIPPING,8,2020-01-06 15:50:15.405310,46,EventType.ACTIVITY_COMPLETE
c17,ACKNOWLEDGEMENT,2,2020-01-06 15:59:11.247506,33,EventType.ACTIVITY_COMPLETE
c15,ACKNOWLEDGEMENT,2,2020-01-06 16:38:07.881223,32,EventType.ACTIVITY_COMPLETE
c19,DISASSEMBLY,1,2020-01-06 16:39:34.405999,13,EventType.ACTIVITY_COMPLETE
c6,SHIPPING,6,2020-01-06 16:49:52.210996,1,EventType.ACTIVITY_COMPLETE
c13,REPAIR,3,2020-01-06 17:20:35.747689,8,EventType.ACTIVITY_COMPLETE
c16,ACKNOWLEDGEMENT,2,2020-01-06 17:21:24.576371,30,EventType.ACTIVITY_COMPLETE
c31,ACKNOWLEDGEMENT,2,2020-01-06 17:25:21.899359,25,EventType.ACTIVITY_COMPLETE
c18,DISASSEMBLY,1,2020-01-06 17:29:51.782290,37,EventType.ACTIVITY_COMPLETE
c14,REPAIR,3,2020-01-06 18:05:48.683394,27,EventType.ACTIVITY_COMPLETE
c24,DISASSEMBLY,1,2020-01-06 18:43:30.015831,41,EventType.ACTIVITY_COMPLETE
c18,ACKNOWLEDGEMENT,2,2020-01-06 18:53:29.983840,2,EventType.ACTIVITY_COMPLETE
c8,CREATE_INVOICE,5,2020-01-06 19:13:06.728924,31,EventType.ACTIVITY_COMPLETE
c21,DISASSEMBLY,1,2020-01-06 19:17:40.118851,43,EventType.ACTIVITY_COMPLETE
c16,DISASSEMBLY,1,2020-01-06 19:18:22.162037,20,EventType.ACTIVITY_COMPLETE
c25,DISASSEMBLY,1,2020-01-06 19:32:57.375669,26,EventType.ACTIVITY_COMPLETE
c28,ACKNOWLEDGEMENT,2,2020-01-06 19:33:43.278143,1,EventType.ACTIVITY_COMPLETE
c7,SHIPPING,6,2020-01-06 19:40:08.156150,34,EventType.ACTIVITY_COMPLETE
c21,ACKNOWLEDGEMENT,2,2020-01-06 19:44:19.031948,21,EventType.ACTIVITY_COMPLETE
c17,DISASSEMBLY,1,2020-01-06 19:49:36.481847,44,EventType.ACTIVITY_COMPLETE
c29,DISASSEMBLY,1,2020-01-06 20:03:08.226536,49,EventType.ACTIVITY_COMPLETE
c23,ACKNOWLEDGEMENT,2,2020-01-06 20:05:56.510978,36,EventType.ACTIVITY_COMPLETE
c11,REPAIR,5,2020-01-06 20:11:57.078531,48,EventType.ACTIVITY_COMPLETE
c26,DISASSEMBLY,1,2020-01-06 20:21:12.093174,10,EventType.ACTIVITY_COMPLETE
c31,DISASSEMBLY,1,2020-01-06 20:34:41.327575,42,EventType.ACTIVITY_COMPLETE
c22,REPAIR,3,2020-01-06 20:56:42.964164,25,EventType.ACTIVITY_COMPLETE
c27,DISASSEMBLY,1,2020-01-06 21:23:22.869183,0,EventType.ACTIVITY_COMPLETE
c5,SHIPPING,6,2020-01-06 21:28:52.934910,17,EventType.ACTIVITY_COMPLETE
c23,DISASSEMBLY,1,2020-01-06 22:23:21.661935,15,EventType.ACTIVITY_COMPLETE
c30,ACKNOWLEDGEMENT,2,2020-01-06 23:01:42.275126,30,EventType.ACTIVITY_COMPLETE
c30,DISASSEMBLY,1,2020-01-06 23:03:49.280069,8,EventType.ACTIVITY_COMPLETE
c26,ACKNOWLEDGEMENT,2,2020-01-06 23:34:55.626929,7,EventType.ACTIVITY_COMPLETE
c28,DISASSEMBLY,1,2020-01-06 23:39:12.927251,33,EventType.ACTIVITY_COMPLETE
c27,ACKNOWLEDGEMENT,2,2020-01-07 03:00:40.847047,45,EventType.ACTIVITY_COMPLETE
c10,CREATE_INVOICE,5,2020-01-07 03:38:44.795980,22,EventType.ACTIVITY_COMPLETE
c12,CREATE_INVOICE,5,2020-01-07 05:35:40.371650,18,EventType.ACTIVITY_COMPLETE
c13,QUALITY_CONTROL,4,2020-01-07 07:46:15.220244,14,EventType.ACTIVITY_COMPLETE
c19,REPAIR,3,2020-01-07 07:46:16.619104,10,EventType.ACTIVITY_COMPLETE
c33,RECEPTION,0,2020-01-07 07:49:19.641034,30,EventType.ACTIVITY_COMPLETE
c14,QUALITY_CONTROL,4,2020-01-07 08:00:05.753687,25,EventType.ACTIVITY_COMPLETE
c11,QUALITY_CONTROL,6,2020-01-07 08:18:43.828850,42,EventType.ACTIVITY_COMPLETE
c25,REPAIR,3,2020-01-07 08:36:17.308061,38,EventType.ACTIVITY_COMPLETE
c13,CREATE_INVOICE,5,2020-01-07 08:52:15.774005,16,EventType.ACTIVITY_COMPLETE
c22,QUALITY_CONTROL,4,2020-01-07 08:52:58.766301,4,EventType.ACTIVITY_COMPLETE
c34,RECEPTION,0,2020-01-07 08:57:04.174622,18,EventType.ACTIVITY_COMPLETE
c16,REPAIR,3,2020-01-07 09:14:53.077318,2,EventType.ACTIVITY_COMPLETE
c21,REPAIR,3,2020-01-07 09:22:51.147362,49,EventType.ACTIVITY_COMPLETE
c20,REPAIR,3,2020-01-07 09:25:50.575387,15,EventType.ACTIVITY_COMPLETE
c32,RECEPTION,0,2020-01-07 09:33:34.796798,24,EventType.ACTIVITY_COMPLETE
c18,REPAIR,3,2020-01-07 09:38:30.550095,41,EventType.ACTIVITY_COMPLETE
c29,REPAIR,3,2020-01-07 09:46:39.298291,20,EventType.ACTIVITY_COMPLETE
c24,REPAIR,3,2020-01-07 09:47:58.073745,29,EventType.ACTIVITY_COMPLETE
c27,REPAIR,3,2020-01-07 09:57:33.049434,34,EventType.ACTIVITY_COMPLETE
c14,CREATE_INVOICE,5,2020-01-07 10:02:09.285469,16,EventType.ACTIVITY_COMPLETE
c17,REPAIR,3,2020-01-07 10:05:01.280696,3,EventType.ACTIVITY_COMPLETE
c19,QUALITY_CONTROL,4,2020-01-07 10:05:08.770519,25,EventType.ACTIVITY_COMPLETE
c23,REPAIR,3,2020-01-07 10:39:09.581714,21,EventType.ACTIVITY_COMPLETE
c28,REPAIR,3,2020-01-07 10:41:19.014722,47,EventType.ACTIVITY_COMPLETE
c31,REPAIR,3,2020-01-07 10:59:29.372203,39,EventType.ACTIVITY_COMPLETE
c21,QUALITY_CONTROL,4,2020-01-07 11:00:48.849473,12,EventType.ACTIVITY_COMPLETE
c15,REPAIR,3,2020-01-07 11:03:40.186006,23,EventType.ACTIVITY_COMPLETE
c25,QUALITY_CONTROL,4,2020-01-07 11:07:55.137184,18,EventType.ACTIVITY_COMPLETE
c16,QUALITY_CONTROL,4,2020-01-07 11:18:50.618529,2,EventType.ACTIVITY_COMPLETE
c20,QUALITY_CONTROL,4,2020-01-07 11:26:24.916976,49,EventType.ACTIVITY_COMPLETE
c18,QUALITY_CONTROL,4,2020-01-07 11:31:37.298569,41,EventType.ACTIVITY_COMPLETE
c30,REPAIR,3,2020-01-07 11:39:07.413619,10,EventType.ACTIVITY_COMPLETE
c21,CREATE_INVOICE,5,2020-01-07 11:39:21.436311,23,EventType.ACTIVITY_COMPLETE
c26,REPAIR,3,2020-01-07 11:42:34.913411,30,EventType.ACTIVITY_COMPLETE
c24,QUALITY_CONTROL,4,2020-01-07 11:52:42.937533,29,EventType.ACTIVITY_COMPLETE
c17,QUALITY_CONTROL,4,2020-01-07 11:58:23.725840,25,EventType.ACTIVITY_COMPLETE
c29,QUALITY_CONTROL,4,2020-01-07 12:04:02.970060,20,EventType.ACTIVITY_COMPLETE
c27,QUALITY_CONTROL,4,2020-01-07 12:05:56.130643,16,EventType.ACTIVITY_COMPLETE
c36,RECEPTION,0,2020-01-07 12:28:16.464742,34,EventType.ACTIVITY_COMPLETE
c23,QUALITY_CONTROL,4,2020-01-07 12:40:34.072466,47,EventType.ACTIVITY_COMPLETE
c28,QUALITY_CONTROL,4,2020-01-07 12:42:44.202331,39,EventType.ACTIVITY_COMPLETE
c16,CREATE_INVOICE,5,2020-01-07 12:45:03.246674,10,EventType.ACTIVITY_COMPLETE
c12,SHIPPING,6,2020-01-07 12:45:48.676864,19,EventType.ACTIVITY_COMPLETE
c13,SHIPPING,6,2020-01-07 12:50:34.748394,40,EventType.ACTIVITY_COMPLETE
c18,CREATE_INVOICE,5,2020-01-07 12:52:23.769399,30,EventType.ACTIVITY_COMPLETE
c15,QUALITY_CONTROL,4,2020-01-07 12:53:29.801854,18,EventType.ACTIVITY_COMPLETE
c33,ACKNOWLEDGEMENT,2,2020-01-07 12:58:32.176211,38,EventType.ACTIVITY_COMPLETE
c31,QUALITY_CONTROL,4,2020-01-07 13:07:44.187442,12,EventType.ACTIVITY_COMPLETE
c15,CREATE_INVOICE,5,2020-01-07 13:35:19.490048,36,EventType.ACTIVITY_COMPLETE
c30,QUALITY_CONTROL,4,2020-01-07 13:55:25.508591,29,EventType.ACTIVITY_COMPLETE
c33,DISASSEMBLY,1,2020-01-07 14:02:33.947659,42,EventType.ACTIVITY_COMPLETE
c29,CREATE_INVOICE,5,2020-01-07 14:02:46.182456,10,EventType.ACTIVITY_COMPLETE
c20,CREATE_INVOICE,5,2020-01-07 14:08:31.436916,23,EventType.ACTIVITY_COMPLETE
c35,RECEPTION,0,2020-01-07 14:09:44.153926,14,EventType.ACTIVITY_COMPLETE
c26,QUALITY_CONTROL,4,2020-01-07 14:20:11.231323,16,EventType.ACTIVITY_COMPLETE
c27,CREATE_INVOICE,5,2020-01-07 14:27:47.920222,19,EventType.ACTIVITY_COMPLETE
c14,SHIPPING,6,2020-01-07 14:32:18.336211,3,EventType.ACTIVITY_COMPLETE
c34,DISASSEMBLY,1,2020-01-07 14:54:09.872678,36,EventType.ACTIVITY_COMPLETE
c32,DISASSEMBLY,1,2020-01-07 15:58:40.336331,24,EventType.ACTIVITY_COMPLETE
c20,SHIPPING,6,2020-01-07 16:13:32.826858,10,EventType.ACTIVITY_COMPLETE
c32,ACKNOWLEDGEMENT,2,2020-01-07 16:16:17.058402,15,EventType.ACTIVITY_COMPLETE
c29,SHIPPING,6,2020-01-07 16:19:23.193045,33,EventType.ACTIVITY_COMPLETE
c28,CREATE_INVOICE,5,2020-01-07 16:43:22.500460,5,EventType.ACTIVITY_COMPLETE
c36,ACKNOWLEDGEMENT,2,2020-01-07 16:55:08.681726,18,EventType.ACTIVITY_COMPLETE
c16,SHIPPING,6,2020-01-07 16:57:24.023652,24,EventType.ACTIVITY_COMPLETE
c18,SHIPPING,6,2020-01-07 17:03:48.579441,20,EventType.ACTIVITY_COMPLETE
c8,SHIPPING,6,2020-01-07 17:15:44.295172,45,EventType.ACTIVITY_COMPLETE
c22,REPAIR,5,2020-01-07 17:17:35.170878,8,EventType.ACTIVITY_COMPLETE
c33,REPAIR,3,2020-01-07 17:32:22.961924,31,EventType.ACTIVITY_COMPLETE
c34,ACKNOWLEDGEMENT,2,2020-01-07 17:56:21.591823,0,EventType.ACTIVITY_COMPLETE
c32,REPAIR,3,2020-01-07 18:00:51.143100,10,EventType.ACTIVITY_COMPLETE
c27,SHIPPING,6,2020-01-07 18:05:44.213991,16,EventType.ACTIVITY_COMPLETE
c28,SHIPPING,6,2020-01-07 18:10:43.568718,36,EventType.ACTIVITY_COMPLETE
c19,REPAIR,5,2020-01-07 18:12:02.441712,21,EventType.ACTIVITY_COMPLETE
c22,QUALITY_CONTROL,6,2020-01-07 18:20:49.732273,24,EventType.ACTIVITY_COMPLETE
c21,SHIPPING,6,2020-01-07 19:03:10.030198,25,EventType.ACTIVITY_COMPLETE
c15,SHIPPING,6,2020-01-07 19:08:36.296153,36,EventType.ACTIVITY_COMPLETE
c33,QUALITY_CONTROL,4,2020-01-07 19:26:06.626327,18,EventType.ACTIVITY_COMPLETE
c35,DISASSEMBLY,1,2020-01-07 19:36:06.643032,23,EventType.ACTIVITY_COMPLETE
c24,CREATE_INVOICE,5,2020-01-07 19:51:31.162200,34,EventType.ACTIVITY_COMPLETE
c25,REPAIR,5,2020-01-07 20:03:14.207093,41,EventType.ACTIVITY_COMPLETE
c17,REPAIR,5,2020-01-07 20:08:17.375319,39,EventType.ACTIVITY_COMPLETE
c10,SHIPPING,6,2020-01-07 20:16:48.494946,9,EventType.ACTIVITY_COMPLETE
c36,DISASSEMBLY,1,2020-01-07 20:18:29.375673,40,EventType.ACTIVITY_COMPLETE
c32,QUALITY_CONTROL,4,2020-01-07 20:27:39.195146,21,EventType.ACTIVITY_COMPLETE
c31,REPAIR,5,2020-01-07 20:45:15.338310,12,EventType.ACTIVITY_COMPLETE
c23,REPAIR,5,2020-01-07 20:49:37.218809,38,EventType.ACTIVITY_COMPLETE
c30,REPAIR,5,2020-01-07 21:09:41.803583,29,EventType.ACTIVITY_COMPLETE
c37,RECEPTION,0,2020-01-07 21:43:50.124058,45,EventType.ACTIVITY_COMPLETE
c34,REPAIR,3,2020-01-08 02:05:39.035570,24,EventType.ACTIVITY_COMPLETE
c26,CREATE_INVOICE,5,2020-01-08 02:30:37.172024,14,EventType.ACTIVITY_COMPLETE
c35,ACKNOWLEDGEMENT,2,2020-01-08 02:43:18.092853,47,EventType.ACTIVITY_COMPLETE
c32,CREATE_INVOICE,5,2020-01-08 06:50:40.284660,0,EventType.ACTIVITY_COMPLETE
c31,QUALITY_CONTROL,6,2020-01-08 06:54:08.021946,17,EventType.ACTIVITY_COMPLETE
c17,QUALITY_CONTROL,6,2020-01-08 07:05:41.433419,35,EventType.ACTIVITY_COMPLETE
c23,QUALITY_CONTROL,6,2020-01-08 07:05:45.473992,18,EventType.ACTIVITY_COMPLETE
c30,QUALITY_CONTROL,6,2020-01-08 07:05:56.642382,9,EventType.ACTIVITY_COMPLETE
c25,QUALITY_CONTROL,6,2020-01-08 07:06:51.014268,11,EventType.ACTIVITY_COMPLETE
c19,QUALITY_CONTROL,6,2020-01-08 07:19:13.004437,22,EventType.ACTIVITY_COMPLETE
c33,CREATE_INVOICE,5,2020-01-08 07:32:20.801064,49,EventType.ACTIVITY_COMPLETE
c23,CREATE_INVOICE,7,2020-01-08 07:49:35.226091,44,EventType.ACTIVITY_COMPLETE
c34,QUALITY_CONTROL,4,2020-01-08 07:55:39.116716,4,EventType.ACTIVITY_COMPLETE
c33,SHIPPING,6,2020-01-08 08:28:03.108160,49,EventType.ACTIVITY_COMPLETE
c24,SHIPPING,6,2020-01-08 08:31:49.044258,16,EventType.ACTIVITY_COMPLETE
c22,CREATE_INVOICE,7,2020-01-08 08:54:36.052509,23,EventType.ACTIVITY_COMPLETE
c36,REPAIR,3,2020-01-08 09:10:22.699413,20,EventType.ACTIVITY_COMPLETE
c19,CREATE_INVOICE,7,2020-01-08 09:17:49.544883,10,EventType.ACTIVITY_COMPLETE
c37,ACKNOWLEDGEMENT,2,2020-01-08 10:26:17.884976,14,EventType.ACTIVITY_COMPLETE
c23,SHIPPING,8,2020-01-08 10:53:35.977635,9,EventType.ACTIVITY_COMPLETE
c36,QUALITY_CONTROL,4,2020-01-08 10:56:43.239094,36,EventType.ACTIVITY_COMPLETE
c17,REPAIR,7,2020-01-08 11:17:51.295887,3,EventType.ACTIVITY_COMPLETE
c35,REPAIR,3,2020-01-08 11:21:12.255266,17,EventType.ACTIVITY_COMPLETE
c37,DISASSEMBLY,1,2020-01-08 11:31:35.743972,21,EventType.ACTIVITY_COMPLETE
c17,QUALITY_CONTROL,8,2020-01-08 11:46:27.435729,22,EventType.ACTIVITY_COMPLETE
c32,SHIPPING,6,2020-01-08 12:00:40.595643,46,EventType.ACTIVITY_COMPLETE
c39,RECEPTION,0,2020-01-08 12:22:12.810612,11,EventType.ACTIVITY_COMPLETE
c25,CREATE_INVOICE,7,2020-01-08 12:51:33.876553,31,EventType.ACTIVITY_COMPLETE
c35,QUALITY_CONTROL,4,2020-01-08 13:15:13.743021,13,EventType.ACTIVITY_COMPLETE
c40,RECEPTION,0,2020-01-08 13:21:51.424704,1,EventType.ACTIVITY_COMPLETE
c31,REPAIR,7,2020-01-08 13:44:51.267332,39,EventType.ACTIVITY_COMPLETE
