CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,seriousness,customer,product,responsible_section,service_level,service_type,support_section,workgroup
Case 1000,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 6.0, 12.0, 450805.0, 3802049.0]","[nan, 6.0, 6.0, 450793.0, 3351244.0]","[3.0, 3.0, 3.0, 1.0, 5.0]","[32008.0, 32014.0, 32020.0, 50813.0, 32457.0]",Value 1,Value 92,Value 3,Value 4,Value 2,Value 1,Value 3,Value 1
Case 1001,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[4.0],[61284.0],Value 1,Value 239,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1001,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 1436829.0]","[nan, 1436829.0]","[4.0, 0.0]","[61284.0, 29313.0]",Value 1,Value 239,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1001,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4']","[0.0, 1436829.0, 1704597.0]","[nan, 1436829.0, 267768.0]","[4.0, 0.0, 3.0]","[61284.0, 29313.0, 37881.0]",Value 1,Value 239,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1001,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 4', 'Value 4', 'Value 3']","[0.0, 1436829.0, 1704597.0, 2997012.0]","[nan, 1436829.0, 267768.0, 1292415.0]","[4.0, 0.0, 3.0, 4.0]","[61284.0, 29313.0, 37881.0, 34296.0]",Value 1,Value 239,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,1,['Assign seriousness'],['Value 19'],[0.0],[nan],[2.0],[38170.0],Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,2,"['Assign seriousness', 'Take in charge ticket']","['Value 19', 'Value 2']","[0.0, 161915.0]","[nan, 161915.0]","[2.0, 4.0]","[38170.0, 27285.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 19', 'Value 2', 'Value 2']","[0.0, 161915.0, 165975.0]","[nan, 161915.0, 4060.0]","[2.0, 4.0, 4.0]","[38170.0, 27285.0, 31345.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 19', 'Value 2', 'Value 2', 'Value 5']","[0.0, 161915.0, 165975.0, 2678662.0]","[nan, 161915.0, 4060.0, 2512687.0]","[2.0, 4.0, 4.0, 5.0]","[38170.0, 27285.0, 31345.0, 38432.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[3.0],[41032.0],Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 2']","[0.0, 1629118.0]","[nan, 1629118.0]","[3.0, 1.0]","[41032.0, 28550.0]",Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 2', 'Value 2']","[0.0, 1629118.0, 2417711.0]","[nan, 1629118.0, 788593.0]","[3.0, 1.0, 3.0]","[41032.0, 28550.0, 39543.0]",Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 8', 'Value 2', 'Value 2', 'Value 5']","[0.0, 1629118.0, 2417711.0, 3713728.0]","[nan, 1629118.0, 788593.0, 1296017.0]","[3.0, 1.0, 3.0, 4.0]","[41032.0, 28550.0, 39543.0, 39560.0]",Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[25760.0],Value 1,Value 27,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 438165.0]","[nan, 438165.0]","[2.0, 0.0]","[25760.0, 31925.0]",Value 1,Value 27,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 9']","[0.0, 438165.0, 530382.0]","[nan, 438165.0, 92217.0]","[2.0, 0.0, 1.0]","[25760.0, 31925.0, 37742.0]",Value 1,Value 27,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 9', 'Value 9', 'Value 5']","[0.0, 438165.0, 530382.0, 2678489.0]","[nan, 438165.0, 92217.0, 2148107.0]","[2.0, 0.0, 1.0, 5.0]","[25760.0, 31925.0, 37742.0, 25849.0]",Value 1,Value 27,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1006,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[4.0],[40180.0],Value 1,Value 255,Value 3,Value 6,Value 2,Value 1,Value 5,Value 1
Case 1006,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 11.0]","[nan, 11.0]","[4.0, 4.0]","[40180.0, 40191.0]",Value 1,Value 255,Value 3,Value 6,Value 2,Value 1,Value 5,Value 1
Case 1006,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 11.0, 19.0]","[nan, 11.0, 8.0]","[4.0, 4.0, 4.0]","[40180.0, 40191.0, 40199.0]",Value 1,Value 255,Value 3,Value 6,Value 2,Value 1,Value 5,Value 1
Case 1006,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 11.0, 19.0, 4147253.0]","[nan, 11.0, 8.0, 4147234.0]","[4.0, 4.0, 4.0, 3.0]","[40180.0, 40191.0, 40199.0, 40233.0]",Value 1,Value 255,Value 3,Value 6,Value 2,Value 1,Value 5,Value 1
Case 1007,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[38861.0],Value 1,Value 256,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 1294568.0]","[nan, 1294568.0]","[2.0, 3.0]","[38861.0, 37429.0]",Value 1,Value 256,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 12']","[0.0, 1294568.0, 2843377.0]","[nan, 1294568.0, 1548809.0]","[2.0, 3.0, 0.0]","[38861.0, 37429.0, 31038.0]",Value 1,Value 256,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 9', 'Value 12', 'Value 3']","[0.0, 1294568.0, 2843377.0, 4139387.0]","[nan, 1294568.0, 1548809.0, 1296010.0]","[2.0, 3.0, 0.0, 1.0]","[38861.0, 37429.0, 31038.0, 31048.0]",Value 1,Value 256,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1008,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[1.0],[52519.0],Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1008,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 16']","[0.0, 60267.0]","[nan, 60267.0]","[1.0, 2.0]","[52519.0, 26386.0]",Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1008,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 16', 'Value 16']","[0.0, 60267.0, 759716.0]","[nan, 60267.0, 699449.0]","[1.0, 2.0, 3.0]","[52519.0, 26386.0, 34635.0]",Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1008,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 16', 'Value 16', 'Value 5']","[0.0, 60267.0, 759716.0, 3805506.0]","[nan, 60267.0, 699449.0, 3045790.0]","[1.0, 2.0, 3.0, 3.0]","[52519.0, 26386.0, 34635.0, 56425.0]",Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1009,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[43885.0],Value 1,Value 26,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 7912.0]","[nan, 7912.0]","[4.0, 4.0]","[43885.0, 51797.0]",Value 1,Value 26,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 9', 'Value 9']","[0.0, 7912.0, 10564.0]","[nan, 7912.0, 2652.0]","[4.0, 4.0, 4.0]","[43885.0, 51797.0, 54449.0]",Value 1,Value 26,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 9', 'Value 9']","[0.0, 7912.0, 10564.0, 330101.0]","[nan, 7912.0, 2652.0, 319537.0]","[4.0, 4.0, 4.0, 1.0]","[43885.0, 51797.0, 54449.0, 28386.0]",Value 1,Value 26,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 1', 'Value 9', 'Value 9', 'Value 9', 'Value 5']","[0.0, 7912.0, 10564.0, 330101.0, 3549546.0]","[nan, 7912.0, 2652.0, 319537.0, 3219445.0]","[4.0, 4.0, 4.0, 1.0, 3.0]","[43885.0, 51797.0, 54449.0, 28386.0, 51031.0]",Value 1,Value 26,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 101,1,['Insert ticket'],['Value 15'],[0.0],[nan],[4.0],[49635.0],Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[0.0, 1860.0]","[nan, 1860.0]","[4.0, 4.0]","[49635.0, 51495.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 2']","[0.0, 1860.0, 928112.0]","[nan, 1860.0, 926252.0]","[4.0, 4.0, 1.0]","[49635.0, 51495.0, 27347.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,4,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 15', 'Value 15', 'Value 2', 'Value 2']","[0.0, 1860.0, 928112.0, 931552.0]","[nan, 1860.0, 926252.0, 3440.0]","[4.0, 4.0, 1.0, 1.0]","[49635.0, 51495.0, 27347.0, 30787.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,5,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 15', 'Value 15', 'Value 2', 'Value 2', 'Value 5']","[0.0, 1860.0, 928112.0, 931552.0, 4147389.0]","[nan, 1860.0, 926252.0, 3440.0, 3215837.0]","[4.0, 4.0, 1.0, 1.0, 3.0]","[49635.0, 51495.0, 27347.0, 30787.0, 49824.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,1,['Insert ticket'],['Value 15'],[0.0],[nan],[1.0],[56247.0],Value 1,Value 163,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[0.0, 425.0]","[nan, 425.0]","[1.0, 1.0]","[56247.0, 56672.0]",Value 1,Value 163,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 15']","[0.0, 425.0, 447.0]","[nan, 425.0, 22.0]","[1.0, 1.0, 1.0]","[56247.0, 56672.0, 56694.0]",Value 1,Value 163,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,4,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 15', 'Value 15', 'Value 15', 'Value 15']","[0.0, 425.0, 447.0, 1111.0]","[nan, 425.0, 22.0, 664.0]","[1.0, 1.0, 1.0, 1.0]","[56247.0, 56672.0, 56694.0, 57358.0]",Value 1,Value 163,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,5,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 15', 'Value 15', 'Value 15', 'Value 15', 'Value 5']","[0.0, 425.0, 447.0, 1111.0, 3974578.0]","[nan, 425.0, 22.0, 664.0, 3973467.0]","[1.0, 1.0, 1.0, 1.0, 5.0]","[56247.0, 56672.0, 56694.0, 57358.0, 56425.0]",Value 1,Value 163,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[1.0],[54868.0],Value 1,Value 182,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 260621.0]","[nan, 260621.0]","[1.0, 4.0]","[54868.0, 56289.0]",Value 1,Value 182,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 260621.0, 260657.0]","[nan, 260621.0, 36.0]","[1.0, 4.0, 4.0]","[54868.0, 56289.0, 56325.0]",Value 1,Value 182,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 260621.0, 260657.0, 2765158.0]","[nan, 260621.0, 36.0, 2504501.0]","[1.0, 4.0, 4.0, 5.0]","[54868.0, 56289.0, 56325.0, 55226.0]",Value 1,Value 182,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1013,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[59574.0],Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1013,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 9']","[0.0, 1037875.0]","[nan, 1037875.0]","[2.0, 0.0]","[59574.0, 60649.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1013,3,"['Assign seriousness', 'Resolve ticket', 'Closed']","['Value 1', 'Value 9', 'Value 5']","[0.0, 1037875.0, 3802063.0]","[nan, 1037875.0, 2764188.0]","[2.0, 0.0, 4.0]","[59574.0, 60649.0, 60037.0]",Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1015,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[53050.0],Value 1,Value 14,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 3834.0]","[nan, 3834.0]","[4.0, 4.0]","[53050.0, 56884.0]",Value 1,Value 14,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 2']","[0.0, 3834.0, 418987.0]","[nan, 3834.0, 415153.0]","[4.0, 4.0, 2.0]","[53050.0, 56884.0, 40037.0]",Value 1,Value 14,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 2', 'Value 2', 'Value 5']","[0.0, 3834.0, 418987.0, 2851565.0]","[nan, 3834.0, 415153.0, 2432578.0]","[4.0, 4.0, 2.0, 2.0]","[53050.0, 56884.0, 40037.0, 53415.0]",Value 1,Value 14,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1017,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[44686.0],Value 1,Value 104,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 3']","[0.0, 249991.0]","[nan, 249991.0]","[4.0, 0.0]","[44686.0, 35477.0]",Value 1,Value 104,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 3', 'Value 4']","[0.0, 249991.0, 855110.0]","[nan, 249991.0, 605119.0]","[4.0, 0.0, 0.0]","[44686.0, 35477.0, 35796.0]",Value 1,Value 104,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 3', 'Value 4', 'Value 4']","[0.0, 249991.0, 855110.0, 2140696.0]","[nan, 249991.0, 605119.0, 1285586.0]","[4.0, 0.0, 0.0, 1.0]","[44686.0, 35477.0, 35796.0, 25382.0]",Value 1,Value 104,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 3', 'Value 4', 'Value 4', 'Value 4']","[0.0, 249991.0, 855110.0, 2140696.0, 2140716.0]","[nan, 249991.0, 605119.0, 1285586.0, 20.0]","[4.0, 0.0, 0.0, 1.0, 1.0]","[44686.0, 35477.0, 35796.0, 25382.0, 25402.0]",Value 1,Value 104,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 3', 'Value 4', 'Value 4', 'Value 4', 'Value 3']","[0.0, 249991.0, 855110.0, 2140696.0, 2140716.0, 3436711.0]","[nan, 249991.0, 605119.0, 1285586.0, 20.0, 1295995.0]","[4.0, 0.0, 0.0, 1.0, 1.0, 2.0]","[44686.0, 35477.0, 35796.0, 25382.0, 25402.0, 25397.0]",Value 1,Value 104,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1018,1,['Assign seriousness'],['Value 14'],[0.0],[nan],[3.0],[32602.0],Value 1,Value 10,Value 3,Value 1,Value 3,Value 3,Value 1,Value 1
Case 1018,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 14']","[0.0, 2709.0]","[nan, 2709.0]","[3.0, 3.0]","[32602.0, 35311.0]",Value 1,Value 10,Value 3,Value 1,Value 3,Value 3,Value 1,Value 1
Case 1018,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 14', 'Value 14', 'Value 2']","[0.0, 2709.0, 429657.0]","[nan, 2709.0, 426948.0]","[3.0, 3.0, 1.0]","[32602.0, 35311.0, 30259.0]",Value 1,Value 10,Value 3,Value 1,Value 3,Value 3,Value 1,Value 1
Case 1018,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 14', 'Value 14', 'Value 2', 'Value 5']","[0.0, 2709.0, 429657.0, 4321289.0]","[nan, 2709.0, 426948.0, 3891632.0]","[3.0, 3.0, 1.0, 4.0]","[32602.0, 35311.0, 30259.0, 33891.0]",Value 1,Value 10,Value 3,Value 1,Value 3,Value 3,Value 1,Value 1
Case 1020,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[1.0],[29378.0],Value 1,Value 220,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 19.0]","[nan, 19.0]","[1.0, 1.0]","[29378.0, 29397.0]",Value 1,Value 220,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 4', 'Value 4', 'Value 4']","[0.0, 19.0, 1149114.0]","[nan, 19.0, 1149095.0]","[1.0, 1.0, 0.0]","[29378.0, 29397.0, 55292.0]",Value 1,Value 220,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4', 'Value 4']","[0.0, 19.0, 1149114.0, 1737608.0]","[nan, 19.0, 1149095.0, 588494.0]","[1.0, 1.0, 0.0, 0.0]","[29378.0, 29397.0, 55292.0, 38986.0]",Value 1,Value 220,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 4', 'Value 4', 'Value 4', 'Value 4', 'Value 5']","[0.0, 19.0, 1149114.0, 1737608.0, 4512050.0]","[nan, 19.0, 1149095.0, 588494.0, 2774442.0]","[1.0, 1.0, 0.0, 0.0, 4.0]","[29378.0, 29397.0, 55292.0, 38986.0, 48628.0]",Value 1,Value 220,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1021,1,['Assign seriousness'],['Value 6'],[0.0],[nan],[1.0],[53976.0],Value 1,Value 5,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,2,"['Assign seriousness', 'Take in charge ticket']","['Value 6', 'Value 2']","[0.0, 61710.0]","[nan, 61710.0]","[1.0, 2.0]","[53976.0, 29286.0]",Value 1,Value 5,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 6', 'Value 2', 'Value 2']","[0.0, 61710.0, 155883.0]","[nan, 61710.0, 94173.0]","[1.0, 2.0, 3.0]","[53976.0, 29286.0, 37059.0]",Value 1,Value 5,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 6', 'Value 2', 'Value 2', 'Value 5']","[0.0, 61710.0, 155883.0, 3283314.0]","[nan, 61710.0, 94173.0, 3127431.0]","[1.0, 2.0, 3.0, 4.0]","[53976.0, 29286.0, 37059.0, 54090.0]",Value 1,Value 5,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1022,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[60940.0],Value 1,Value 167,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
