case:concept:name,prefix_length,concept:name,org:resource,org:role,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,case:Amount
declaration 100015,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 3.0, 91415.0, 164859.0, 242163.0]","[nan, 3.0, 91412.0, 73444.0, 77304.0]","[1.0, 1.0, 2.0, 3.0, 4.0]","[47203.0, 47206.0, 52218.0, 39262.0, 30166.0]",82.95129768055736
declaration 100015,6,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 3.0, 91415.0, 164859.0, 242163.0, 534259.0]","[nan, 3.0, 91412.0, 73444.0, 77304.0, 292096.0]","[1.0, 1.0, 2.0, 3.0, 4.0, 0.0]","[47203.0, 47206.0, 52218.0, 39262.0, 30166.0, 63062.0]",82.95129768055736
declaration 100021,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[2.0],[39955.0],6.695786011770099
declaration 100021,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 301.0]","[nan, 301.0]","[2.0, 2.0]","[39955.0, 40256.0]",6.695786011770099
declaration 100021,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 301.0, 8260.0]","[nan, 301.0, 7959.0]","[2.0, 2.0, 2.0]","[39955.0, 40256.0, 48215.0]",6.695786011770099
declaration 100021,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 301.0, 8260.0, 94809.0]","[nan, 301.0, 7959.0, 86549.0]","[2.0, 2.0, 2.0, 3.0]","[39955.0, 40256.0, 48215.0, 48364.0]",6.695786011770099
declaration 100021,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 301.0, 8260.0, 94809.0, 695371.0]","[nan, 301.0, 7959.0, 86549.0, 600562.0]","[2.0, 2.0, 2.0, 3.0, 3.0]","[39955.0, 40256.0, 48215.0, 48364.0, 44126.0]",6.695786011770099
declaration 100021,6,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 301.0, 8260.0, 94809.0, 695371.0, 1059925.0]","[nan, 301.0, 7959.0, 86549.0, 600562.0, 364554.0]","[2.0, 2.0, 2.0, 3.0, 3.0, 0.0]","[39955.0, 40256.0, 48215.0, 48364.0, 44126.0, 63080.0]",6.695786011770099
declaration 100032,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[3.0],[41647.0],90.54528298919736
declaration 100032,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 22.0]","[nan, 22.0]","[3.0, 3.0]","[41647.0, 41669.0]",90.54528298919736
declaration 100032,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 22.0, 92530.0]","[nan, 22.0, 92508.0]","[3.0, 3.0, 4.0]","[41647.0, 41669.0, 47777.0]",90.54528298919736
declaration 100032,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 22.0, 92530.0, 420927.0]","[nan, 22.0, 92508.0, 328397.0]","[3.0, 3.0, 4.0, 1.0]","[41647.0, 41669.0, 47777.0, 30574.0]",90.54528298919736
declaration 100032,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 22.0, 92530.0, 420927.0, 626223.0]","[nan, 22.0, 92508.0, 328397.0, 205296.0]","[3.0, 3.0, 4.0, 1.0, 3.0]","[41647.0, 41669.0, 47777.0, 30574.0, 63070.0]",90.54528298919736
declaration 100037,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[3.0],[51371.0],47.90126320305587
declaration 100037,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 87.0]","[nan, 87.0]","[3.0, 3.0]","[51371.0, 51458.0]",47.90126320305587
declaration 100037,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 87.0, 9071.0]","[nan, 87.0, 8984.0]","[3.0, 3.0, 3.0]","[51371.0, 51458.0, 60442.0]",47.90126320305587
declaration 100037,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 87.0, 9071.0, 457274.0]","[nan, 87.0, 8984.0, 448203.0]","[3.0, 3.0, 3.0, 1.0]","[51371.0, 51458.0, 60442.0, 76645.0]",47.90126320305587
declaration 100037,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 87.0, 9071.0, 457274.0, 616499.0]","[nan, 87.0, 8984.0, 448203.0, 159225.0]","[3.0, 3.0, 3.0, 1.0, 3.0]","[51371.0, 51458.0, 60442.0, 76645.0, 63070.0]",47.90126320305587
declaration 100048,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[50714.0],62.2721694500357
declaration 100048,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 180.0]","[nan, 180.0]","[4.0, 4.0]","[50714.0, 50894.0]",62.2721694500357
declaration 100048,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 180.0, 2838.0]","[nan, 180.0, 2658.0]","[4.0, 4.0, 4.0]","[50714.0, 50894.0, 53552.0]",62.2721694500357
declaration 100048,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 180.0, 2838.0, 75991.0]","[nan, 180.0, 2658.0, 73153.0]","[4.0, 4.0, 4.0, 5.0]","[50714.0, 50894.0, 53552.0, 40305.0]",62.2721694500357
declaration 100048,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 180.0, 2838.0, 75991.0, 530737.0]","[nan, 180.0, 2658.0, 73153.0, 454746.0]","[4.0, 4.0, 4.0, 5.0, 3.0]","[50714.0, 50894.0, 53552.0, 40305.0, 63051.0]",62.2721694500357
declaration 100059,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[51622.0],17.170369452108922
declaration 100059,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 3.0]","[nan, 3.0]","[4.0, 4.0]","[51622.0, 51625.0]",17.170369452108922
declaration 100059,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 3.0, 240196.0]","[nan, 3.0, 240193.0]","[4.0, 4.0, 0.0]","[51622.0, 51625.0, 32618.0]",17.170369452108922
declaration 100059,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 3.0, 240196.0, 241091.0]","[nan, 3.0, 240193.0, 895.0]","[4.0, 4.0, 0.0, 0.0]","[51622.0, 51625.0, 32618.0, 33513.0]",17.170369452108922
declaration 100059,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 3.0, 240196.0, 241091.0, 529829.0]","[nan, 3.0, 240193.0, 895.0, 288738.0]","[4.0, 4.0, 0.0, 0.0, 3.0]","[51622.0, 51625.0, 32618.0, 33513.0, 63051.0]",17.170369452108922
declaration 100064,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[51690.0],17.170369452108922
declaration 100064,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 2.0]","[nan, 2.0]","[4.0, 4.0]","[51690.0, 51692.0]",17.170369452108922
declaration 100064,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 2.0, 240095.0]","[nan, 2.0, 240093.0]","[4.0, 4.0, 0.0]","[51690.0, 51692.0, 32585.0]",17.170369452108922
declaration 100064,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 2.0, 240095.0, 241023.0]","[nan, 2.0, 240093.0, 928.0]","[4.0, 4.0, 0.0, 0.0]","[51690.0, 51692.0, 32585.0, 33513.0]",17.170369452108922
declaration 100064,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 2.0, 240095.0, 241023.0, 529761.0]","[nan, 2.0, 240093.0, 928.0, 288738.0]","[4.0, 4.0, 0.0, 0.0, 3.0]","[51690.0, 51692.0, 32585.0, 33513.0, 63051.0]",17.170369452108922
declaration 100079,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[52419.0],95.20112200791006
declaration 100079,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 747.0]","[nan, 747.0]","[4.0, 4.0]","[52419.0, 53166.0]",95.20112200791006
declaration 100079,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 747.0, 247584.0]","[nan, 747.0, 246837.0]","[4.0, 4.0, 0.0]","[52419.0, 53166.0, 40803.0]",95.20112200791006
declaration 100079,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 747.0, 247584.0, 337812.0]","[nan, 747.0, 246837.0, 90228.0]","[4.0, 4.0, 0.0, 1.0]","[52419.0, 53166.0, 40803.0, 44631.0]",95.20112200791006
declaration 100079,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 747.0, 247584.0, 337812.0, 495674.0]","[nan, 747.0, 246837.0, 90228.0, 157862.0]","[4.0, 4.0, 0.0, 1.0, 3.0]","[52419.0, 53166.0, 40803.0, 44631.0, 29693.0]",95.20112200791006
declaration 100079,6,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 747.0, 247584.0, 337812.0, 495674.0, 874651.0]","[nan, 747.0, 246837.0, 90228.0, 157862.0, 378977.0]","[4.0, 4.0, 0.0, 1.0, 3.0, 0.0]","[52419.0, 53166.0, 40803.0, 44631.0, 29693.0, 63070.0]",95.20112200791006
declaration 100085,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[53503.0],52.94240888505906
declaration 100085,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 185.0]","[nan, 185.0]","[4.0, 4.0]","[53503.0, 53688.0]",52.94240888505906
declaration 100085,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 185.0, 235234.0]","[nan, 185.0, 235049.0]","[4.0, 4.0, 0.0]","[53503.0, 53688.0, 29537.0]",52.94240888505906
declaration 100085,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 185.0, 235234.0, 326567.0]","[nan, 185.0, 235049.0, 91333.0]","[4.0, 4.0, 0.0, 1.0]","[53503.0, 53688.0, 29537.0, 34470.0]",52.94240888505906
declaration 100085,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 185.0, 235234.0, 326567.0, 527948.0]","[nan, 185.0, 235049.0, 91333.0, 201381.0]","[4.0, 4.0, 0.0, 1.0, 3.0]","[53503.0, 53688.0, 29537.0, 34470.0, 63051.0]",52.94240888505906
declaration 100090,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[61848.0],30.594992086961387
declaration 100090,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 8.0]","[nan, 8.0]","[4.0, 4.0]","[61848.0, 61856.0]",30.594992086961387
declaration 100090,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 8.0, 231552.0]","[nan, 8.0, 231544.0]","[4.0, 4.0, 0.0]","[61848.0, 61856.0, 34200.0]",30.594992086961387
declaration 100090,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 8.0, 231552.0, 234699.0]","[nan, 8.0, 231544.0, 3147.0]","[4.0, 4.0, 0.0, 0.0]","[61848.0, 61856.0, 34200.0, 37347.0]",30.594992086961387
