case:concept:name,prefix_length,concept:name,org:resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day
c2,7,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['41', '44', '6', '17', '17', '12', '33']","[0.0, 15534.119140625, 53467.23828125, 90823.53125, 98696.265625, 163905.296875, 167297.5]","[nan, 15534.119140625, 37933.12109375, 37356.29296875, 7872.736328125, 65209.01953125, 3392.2119140625]","[2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0]","[59179.0, 74713.0, 26246.0, 63602.0, 71475.0, 50284.0, 53676.0]"
c2,8,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['41', '44', '6', '17', '17', '12', '33', '40']","[0.0, 15534.119140625, 53467.23828125, 90823.53125, 98696.265625, 163905.296875, 167297.5, 198450.875]","[nan, 15534.119140625, 37933.12109375, 37356.29296875, 7872.736328125, 65209.01953125, 3392.2119140625, 31153.375]","[2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0]","[59179.0, 74713.0, 26246.0, 63602.0, 71475.0, 50284.0, 53676.0, 84830.0]"
c2,9,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['41', '44', '6', '17', '17', '12', '33', '40', '23']","[0.0, 15534.119140625, 53467.23828125, 90823.53125, 98696.265625, 163905.296875, 167297.5, 198450.875, 406540.875]","[nan, 15534.119140625, 37933.12109375, 37356.29296875, 7872.736328125, 65209.01953125, 3392.2119140625, 31153.375, 208090.0]","[2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 0.0]","[59179.0, 74713.0, 26246.0, 63602.0, 71475.0, 50284.0, 53676.0, 84830.0, 33720.0]"
c3,1,['RECEPTION'],['47'],[0.0],[nan],[2.0],[71893.0]
c3,2,"['RECEPTION', 'ACKNOWLEDGEMENT']","['47', '15']","[0.0, 44351.80859375]","[nan, 44351.80859375]","[2.0, 3.0]","[71893.0, 29845.0]"
c3,3,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY']","['47', '15', '47']","[0.0, 44351.80859375, 58486.31640625]","[nan, 44351.80859375, 14134.5087890625]","[2.0, 3.0, 3.0]","[71893.0, 29845.0, 43980.0]"
c3,4,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR']","['47', '15', '47', '37']","[0.0, 44351.80859375, 58486.31640625, 75686.859375]","[nan, 44351.80859375, 14134.5087890625, 17200.546875]","[2.0, 3.0, 3.0, 3.0]","[71893.0, 29845.0, 43980.0, 61180.0]"
c3,5,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL']","['47', '15', '47', '37', '27']","[0.0, 44351.80859375, 58486.31640625, 75686.859375, 82441.2421875]","[nan, 44351.80859375, 14134.5087890625, 17200.546875, 6754.380859375]","[2.0, 3.0, 3.0, 3.0, 3.0]","[71893.0, 29845.0, 43980.0, 61180.0, 67935.0]"
c3,6,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['47', '15', '47', '37', '27', '10']","[0.0, 44351.80859375, 58486.31640625, 75686.859375, 82441.2421875, 86401.1953125]","[nan, 44351.80859375, 14134.5087890625, 17200.546875, 6754.380859375, 3959.951416015625]","[2.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[71893.0, 29845.0, 43980.0, 61180.0, 67935.0, 71895.0]"
c3,7,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['47', '15', '47', '37', '27', '10', '8']","[0.0, 44351.80859375, 58486.31640625, 75686.859375, 82441.2421875, 86401.1953125, 139064.453125]","[nan, 44351.80859375, 14134.5087890625, 17200.546875, 6754.380859375, 3959.951416015625, 52663.2578125]","[2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0]","[71893.0, 29845.0, 43980.0, 61180.0, 67935.0, 71895.0, 38158.0]"
c5,1,['RECEPTION'],['44'],[0.0],[nan],[3.0],[33098.0]
c5,2,"['RECEPTION', 'DISASSEMBLY']","['44', '41']","[0.0, 28636.92578125]","[nan, 28636.92578125]","[3.0, 3.0]","[33098.0, 61735.0]"
c5,3,"['RECEPTION', 'DISASSEMBLY', 'REPAIR']","['44', '41', '21']","[0.0, 28636.92578125, 36107.20703125]","[nan, 28636.92578125, 7470.2802734375]","[3.0, 3.0, 3.0]","[33098.0, 61735.0, 69206.0]"
c5,4,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL']","['44', '41', '21', '41']","[0.0, 28636.92578125, 36107.20703125, 82211.8515625]","[nan, 28636.92578125, 7470.2802734375, 46104.6484375]","[3.0, 3.0, 3.0, 4.0]","[33098.0, 61735.0, 69206.0, 28910.0]"
c5,5,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['44', '41', '21', '41', '7']","[0.0, 28636.92578125, 36107.20703125, 82211.8515625, 82720.8046875]","[nan, 28636.92578125, 7470.2802734375, 46104.6484375, 508.9461669921875]","[3.0, 3.0, 3.0, 4.0, 4.0]","[33098.0, 61735.0, 69206.0, 28910.0, 29419.0]"
c5,6,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['44', '41', '21', '41', '7', '23']","[0.0, 28636.92578125, 36107.20703125, 82211.8515625, 82720.8046875, 93835.71875]","[nan, 28636.92578125, 7470.2802734375, 46104.6484375, 508.9461669921875, 11114.9189453125]","[3.0, 3.0, 3.0, 4.0, 4.0, 4.0]","[33098.0, 61735.0, 69206.0, 28910.0, 29419.0, 40534.0]"
c5,7,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING', 'ACKNOWLEDGEMENT']","['44', '41', '21', '41', '7', '23', '20']","[0.0, 28636.92578125, 36107.20703125, 82211.8515625, 82720.8046875, 93835.71875, 114307.1953125]","[nan, 28636.92578125, 7470.2802734375, 46104.6484375, 508.9461669921875, 11114.9189453125, 20471.47265625]","[3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[33098.0, 61735.0, 69206.0, 28910.0, 29419.0, 40534.0, 61005.0]"
c7,1,['RECEPTION'],['9'],[0.0],[nan],[3.0],[70715.0]
c7,2,"['RECEPTION', 'ACKNOWLEDGEMENT']","['9', '5']","[0.0, 48111.08984375]","[nan, 48111.08984375]","[3.0, 4.0]","[70715.0, 32426.0]"
c7,3,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY']","['9', '5', '48']","[0.0, 48111.08984375, 57833.7265625]","[nan, 48111.08984375, 9722.6337890625]","[3.0, 4.0, 4.0]","[70715.0, 32426.0, 42148.0]"
c7,4,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR']","['9', '5', '48', '38']","[0.0, 48111.08984375, 57833.7265625, 65981.5546875]","[nan, 48111.08984375, 9722.6337890625, 8147.830078125]","[3.0, 4.0, 4.0, 4.0]","[70715.0, 32426.0, 42148.0, 50296.0]"
c7,5,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL']","['9', '5', '48', '38', '11']","[0.0, 48111.08984375, 57833.7265625, 65981.5546875, 72533.234375]","[nan, 48111.08984375, 9722.6337890625, 8147.830078125, 6551.6826171875]","[3.0, 4.0, 4.0, 4.0, 4.0]","[70715.0, 32426.0, 42148.0, 50296.0, 56848.0]"
c7,6,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['9', '5', '48', '38', '11', '11']","[0.0, 48111.08984375, 57833.7265625, 65981.5546875, 72533.234375, 102419.765625]","[nan, 48111.08984375, 9722.6337890625, 8147.830078125, 6551.6826171875, 29886.529296875]","[3.0, 4.0, 4.0, 4.0, 4.0, 5.0]","[70715.0, 32426.0, 42148.0, 50296.0, 56848.0, 334.0]"
c7,7,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'CREATE_INVOICE']","['9', '5', '48', '38', '11', '11', '46']","[0.0, 48111.08984375, 57833.7265625, 65981.5546875, 72533.234375, 102419.765625, 312647.53125]","[nan, 48111.08984375, 9722.6337890625, 8147.830078125, 6551.6826171875, 29886.529296875, 210227.75]","[3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 0.0]","[70715.0, 32426.0, 42148.0, 50296.0, 56848.0, 334.0, 37762.0]"
c7,8,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'CREATE_INVOICE', 'SHIPPING']","['9', '5', '48', '38', '11', '11', '46', '41']","[0.0, 48111.08984375, 57833.7265625, 65981.5546875, 72533.234375, 102419.765625, 312647.53125, 329540.34375]","[nan, 48111.08984375, 9722.6337890625, 8147.830078125, 6551.6826171875, 29886.529296875, 210227.75, 16892.83984375]","[3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 0.0, 0.0]","[70715.0, 32426.0, 42148.0, 50296.0, 56848.0, 334.0, 37762.0, 54655.0]"
c8,1,['RECEPTION'],['14'],[0.0],[nan],[4.0],[2847.0]
c8,2,"['RECEPTION', 'DISASSEMBLY']","['14', '33']","[0.0, 38576.4453125]","[nan, 38576.4453125]","[4.0, 4.0]","[2847.0, 41424.0]"
c8,3,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT']","['14', '33', '43']","[0.0, 38576.4453125, 46119.08984375]","[nan, 38576.4453125, 7542.64453125]","[4.0, 4.0, 4.0]","[2847.0, 41424.0, 48966.0]"
c8,4,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR']","['14', '33', '43', '30']","[0.0, 38576.4453125, 46119.08984375, 55882.80859375]","[nan, 38576.4453125, 7542.64453125, 9763.7197265625]","[4.0, 4.0, 4.0, 4.0]","[2847.0, 41424.0, 48966.0, 58730.0]"
c8,5,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL']","['14', '33', '43', '30', '3']","[0.0, 38576.4453125, 46119.08984375, 55882.80859375, 285684.9375]","[nan, 38576.4453125, 7542.64453125, 9763.7197265625, 229802.140625]","[4.0, 4.0, 4.0, 4.0, 0.0]","[2847.0, 41424.0, 48966.0, 58730.0, 29332.0]"
c8,6,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['14', '33', '43', '30', '3', '5']","[0.0, 38576.4453125, 46119.08984375, 55882.80859375, 285684.9375, 315472.15625]","[nan, 38576.4453125, 7542.64453125, 9763.7197265625, 229802.140625, 29787.21875]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0]","[2847.0, 41424.0, 48966.0, 58730.0, 29332.0, 59119.0]"
c8,7,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['14', '33', '43', '30', '3', '5', '5']","[0.0, 38576.4453125, 46119.08984375, 55882.80859375, 285684.9375, 315472.15625, 318907.8125]","[nan, 38576.4453125, 7542.64453125, 9763.7197265625, 229802.140625, 29787.21875, 3435.664306640625]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0]","[2847.0, 41424.0, 48966.0, 58730.0, 29332.0, 59119.0, 62555.0]"
c8,8,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['14', '33', '43', '30', '3', '5', '5', '8']","[0.0, 38576.4453125, 46119.08984375, 55882.80859375, 285684.9375, 315472.15625, 318907.8125, 377065.28125]","[nan, 38576.4453125, 7542.64453125, 9763.7197265625, 229802.140625, 29787.21875, 3435.664306640625, 58157.45703125]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 1.0]","[2847.0, 41424.0, 48966.0, 58730.0, 29332.0, 59119.0, 62555.0, 34312.0]"
c8,9,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['14', '33', '43', '30', '3', '5', '5', '8', '20']","[0.0, 38576.4453125, 46119.08984375, 55882.80859375, 285684.9375, 315472.15625, 318907.8125, 377065.28125, 388168.46875]","[nan, 38576.4453125, 7542.64453125, 9763.7197265625, 229802.140625, 29787.21875, 3435.664306640625, 58157.45703125, 11103.1787109375]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[2847.0, 41424.0, 48966.0, 58730.0, 29332.0, 59119.0, 62555.0, 34312.0, 45416.0]"
c13,1,['RECEPTION'],['11'],[0.0],[nan],[4.0],[27542.0]
c13,2,"['RECEPTION', 'DISASSEMBLY']","['11', '11']","[0.0, 22606.998046875]","[nan, 22606.998046875]","[4.0, 4.0]","[27542.0, 50149.0]"
c13,3,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT']","['11', '11', '27']","[0.0, 22606.998046875, 30405.490234375]","[nan, 22606.998046875, 7798.49267578125]","[4.0, 4.0, 4.0]","[27542.0, 50149.0, 57947.0]"
c13,4,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR']","['11', '11', '27', '5']","[0.0, 22606.998046875, 30405.490234375, 262647.875]","[nan, 22606.998046875, 7798.49267578125, 232242.390625]","[4.0, 4.0, 4.0, 0.0]","[27542.0, 50149.0, 57947.0, 30990.0]"
c13,5,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL']","['11', '11', '27', '5', '35']","[0.0, 22606.998046875, 30405.490234375, 262647.875, 270020.15625]","[nan, 22606.998046875, 7798.49267578125, 232242.390625, 7372.265625]","[4.0, 4.0, 4.0, 0.0, 0.0]","[27542.0, 50149.0, 57947.0, 30990.0, 38362.0]"
c13,6,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['11', '11', '27', '5', '35', '46']","[0.0, 22606.998046875, 30405.490234375, 262647.875, 270020.15625, 300500.15625]","[nan, 22606.998046875, 7798.49267578125, 232242.390625, 7372.265625, 30480.0]","[4.0, 4.0, 4.0, 0.0, 0.0, 0.0]","[27542.0, 50149.0, 57947.0, 30990.0, 38362.0, 68842.0]"
c13,7,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'CREATE_INVOICE']","['11', '11', '27', '5', '35', '46', '29']","[0.0, 22606.998046875, 30405.490234375, 262647.875, 270020.15625, 300500.15625, 342639.90625]","[nan, 22606.998046875, 7798.49267578125, 232242.390625, 7372.265625, 30480.0, 42139.75]","[4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 1.0]","[27542.0, 50149.0, 57947.0, 30990.0, 38362.0, 68842.0, 24582.0]"
c13,8,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'CREATE_INVOICE', 'SHIPPING']","['11', '11', '27', '5', '35', '46', '29', '2']","[0.0, 22606.998046875, 30405.490234375, 262647.875, 270020.15625, 300500.15625, 342639.90625, 353100.25]","[nan, 22606.998046875, 7798.49267578125, 232242.390625, 7372.265625, 30480.0, 42139.75, 10460.373046875]","[4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[27542.0, 50149.0, 57947.0, 30990.0, 38362.0, 68842.0, 24582.0, 35042.0]"
c10,1,['RECEPTION'],['30'],[0.0],[nan],[4.0],[30229.0]
c10,2,"['RECEPTION', 'ACKNOWLEDGEMENT']","['30', '24']","[0.0, 5249.6494140625]","[nan, 5249.6494140625]","[4.0, 4.0]","[30229.0, 35479.0]"
c10,3,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY']","['30', '24', '41']","[0.0, 5249.6494140625, 20961.607421875]","[nan, 5249.6494140625, 15711.95703125]","[4.0, 4.0, 4.0]","[30229.0, 35479.0, 51191.0]"
c10,4,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR']","['30', '24', '41', '24']","[0.0, 5249.6494140625, 20961.607421875, 41348.2890625]","[nan, 5249.6494140625, 15711.95703125, 20386.68359375]","[4.0, 4.0, 4.0, 4.0]","[30229.0, 35479.0, 51191.0, 71577.0]"
c10,5,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL']","['30', '24', '41', '24', '42']","[0.0, 5249.6494140625, 20961.607421875, 41348.2890625, 261192.21875]","[nan, 5249.6494140625, 15711.95703125, 20386.68359375, 219843.9375]","[4.0, 4.0, 4.0, 4.0, 0.0]","[30229.0, 35479.0, 51191.0, 71577.0, 32221.0]"
c10,6,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['30', '24', '41', '24', '42', '42']","[0.0, 5249.6494140625, 20961.607421875, 41348.2890625, 261192.21875, 261414.703125]","[nan, 5249.6494140625, 15711.95703125, 20386.68359375, 219843.9375, 222.48825073242188]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0]","[30229.0, 35479.0, 51191.0, 71577.0, 32221.0, 32444.0]"
c10,7,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['30', '24', '41', '24', '42', '42', '39']","[0.0, 5249.6494140625, 20961.607421875, 41348.2890625, 261192.21875, 261414.703125, 273213.8125]","[nan, 5249.6494140625, 15711.95703125, 20386.68359375, 219843.9375, 222.48825073242188, 11799.0927734375]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0]","[30229.0, 35479.0, 51191.0, 71577.0, 32221.0, 32444.0, 44243.0]"
c11,1,['RECEPTION'],['46'],[0.0],[nan],[4.0],[31218.0]
c11,2,"['RECEPTION', 'ACKNOWLEDGEMENT']","['46', '19']","[0.0, 9979.6474609375]","[nan, 9979.6474609375]","[4.0, 4.0]","[31218.0, 41198.0]"
c11,3,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY']","['46', '19', '1']","[0.0, 9979.6474609375, 21605.060546875]","[nan, 9979.6474609375, 11625.4130859375]","[4.0, 4.0, 4.0]","[31218.0, 41198.0, 52823.0]"
c11,4,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR']","['46', '19', '1', '38']","[0.0, 9979.6474609375, 21605.060546875, 31918.38671875]","[nan, 9979.6474609375, 11625.4130859375, 10313.326171875]","[4.0, 4.0, 4.0, 4.0]","[31218.0, 41198.0, 52823.0, 63137.0]"
c11,5,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL']","['46', '19', '1', '38', '15']","[0.0, 9979.6474609375, 21605.060546875, 31918.38671875, 256776.84375]","[nan, 9979.6474609375, 11625.4130859375, 10313.326171875, 224858.453125]","[4.0, 4.0, 4.0, 4.0, 0.0]","[31218.0, 41198.0, 52823.0, 63137.0, 28795.0]"
c11,6,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['46', '19', '1', '38', '15', '13']","[0.0, 9979.6474609375, 21605.060546875, 31918.38671875, 256776.84375, 259751.59375]","[nan, 9979.6474609375, 11625.4130859375, 10313.326171875, 224858.453125, 2974.75244140625]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0]","[31218.0, 41198.0, 52823.0, 63137.0, 28795.0, 31770.0]"
c11,7,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['46', '19', '1', '38', '15', '13', '13']","[0.0, 9979.6474609375, 21605.060546875, 31918.38671875, 256776.84375, 259751.59375, 266535.90625]","[nan, 9979.6474609375, 11625.4130859375, 10313.326171875, 224858.453125, 2974.75244140625, 6784.298828125]","[4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0]","[31218.0, 41198.0, 52823.0, 63137.0, 28795.0, 31770.0, 38554.0]"
c14,1,['RECEPTION'],['0'],[0.0],[nan],[4.0],[59684.0]
c14,2,"['RECEPTION', 'ACKNOWLEDGEMENT']","['0', '49']","[0.0, 230881.5]","[nan, 230881.5]","[4.0, 0.0]","[59684.0, 31366.0]"
c14,3,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY']","['0', '49', '28']","[0.0, 230881.5, 241572.265625]","[nan, 230881.5, 10690.76953125]","[4.0, 0.0, 0.0]","[59684.0, 31366.0, 42056.0]"
c14,4,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR']","['0', '49', '28', '23']","[0.0, 230881.5, 241572.265625, 250415.765625]","[nan, 230881.5, 10690.76953125, 8843.501953125]","[4.0, 0.0, 0.0, 0.0]","[59684.0, 31366.0, 42056.0, 50900.0]"
c14,5,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL']","['0', '49', '28', '23', '31']","[0.0, 230881.5, 241572.265625, 250415.765625, 257173.625]","[nan, 230881.5, 10690.76953125, 8843.501953125, 6757.8623046875]","[4.0, 0.0, 0.0, 0.0, 0.0]","[59684.0, 31366.0, 42056.0, 50900.0, 57658.0]"
c14,6,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['0', '49', '28', '23', '31', '41']","[0.0, 230881.5, 241572.265625, 250415.765625, 257173.625, 274981.75]","[nan, 230881.5, 10690.76953125, 8843.501953125, 6757.8623046875, 17808.107421875]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[59684.0, 31366.0, 42056.0, 50900.0, 57658.0, 75466.0]"
