CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,seriousness,product,responsible_section,service_level,service_type,support_section,workgroup
Case 1002,2,"['Assign seriousness', 'Take in charge ticket']","['Value 19', 'Value 2']","[0.0, 161915.0]","[nan, 161915.0]","[2.0, 4.0]","[38170.0, 27285.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 19', 'Value 2', 'Value 2']","[0.0, 161915.0, 165975.0]","[nan, 161915.0, 4060.0]","[2.0, 4.0, 4.0]","[38170.0, 27285.0, 31345.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[3.0],[41032.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 2']","[0.0, 1629118.0]","[nan, 1629118.0]","[3.0, 1.0]","[41032.0, 28550.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 2', 'Value 2']","[0.0, 1629118.0, 2417711.0]","[nan, 1629118.0, 788593.0]","[3.0, 1.0, 3.0]","[41032.0, 28550.0, 39543.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[25760.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 438165.0]","[nan, 438165.0]","[2.0, 0.0]","[25760.0, 31925.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 9']","[0.0, 438165.0, 530382.0]","[nan, 438165.0, 92217.0]","[2.0, 0.0, 1.0]","[25760.0, 31925.0, 37742.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1006,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[4.0],[40180.0],Value 1,Value 3,Value 6,Value 2,Value 1,Value 5,Value 1
Case 1006,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 11.0]","[nan, 11.0]","[4.0, 4.0]","[40180.0, 40191.0]",Value 1,Value 3,Value 6,Value 2,Value 1,Value 5,Value 1
Case 1006,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 11.0, 19.0]","[nan, 11.0, 8.0]","[4.0, 4.0, 4.0]","[40180.0, 40191.0, 40199.0]",Value 1,Value 3,Value 6,Value 2,Value 1,Value 5,Value 1
Case 1007,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[38861.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 1294568.0]","[nan, 1294568.0]","[2.0, 3.0]","[38861.0, 37429.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 12']","[0.0, 1294568.0, 2843377.0]","[nan, 1294568.0, 1548809.0]","[2.0, 3.0, 0.0]","[38861.0, 37429.0, 31038.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1008,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[1.0],[52519.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1008,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 16']","[0.0, 60267.0]","[nan, 60267.0]","[1.0, 2.0]","[52519.0, 26386.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1008,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 16', 'Value 16']","[0.0, 60267.0, 759716.0]","[nan, 60267.0, 699449.0]","[1.0, 2.0, 3.0]","[52519.0, 26386.0, 34635.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1009,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[43885.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 7912.0]","[nan, 7912.0]","[4.0, 4.0]","[43885.0, 51797.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 9', 'Value 9']","[0.0, 7912.0, 10564.0]","[nan, 7912.0, 2652.0]","[4.0, 4.0, 4.0]","[43885.0, 51797.0, 54449.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 9', 'Value 9']","[0.0, 7912.0, 10564.0, 330101.0]","[nan, 7912.0, 2652.0, 319537.0]","[4.0, 4.0, 4.0, 1.0]","[43885.0, 51797.0, 54449.0, 28386.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 101,1,['Insert ticket'],['Value 15'],[0.0],[nan],[4.0],[49635.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[0.0, 1860.0]","[nan, 1860.0]","[4.0, 4.0]","[49635.0, 51495.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 2']","[0.0, 1860.0, 928112.0]","[nan, 1860.0, 926252.0]","[4.0, 4.0, 1.0]","[49635.0, 51495.0, 27347.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 101,4,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 15', 'Value 15', 'Value 2', 'Value 2']","[0.0, 1860.0, 928112.0, 931552.0]","[nan, 1860.0, 926252.0, 3440.0]","[4.0, 4.0, 1.0, 1.0]","[49635.0, 51495.0, 27347.0, 30787.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,1,['Insert ticket'],['Value 15'],[0.0],[nan],[1.0],[56247.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[0.0, 425.0]","[nan, 425.0]","[1.0, 1.0]","[56247.0, 56672.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 15']","[0.0, 425.0, 447.0]","[nan, 425.0, 22.0]","[1.0, 1.0, 1.0]","[56247.0, 56672.0, 56694.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,4,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 15', 'Value 15', 'Value 15', 'Value 15']","[0.0, 425.0, 447.0, 1111.0]","[nan, 425.0, 22.0, 664.0]","[1.0, 1.0, 1.0, 1.0]","[56247.0, 56672.0, 56694.0, 57358.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[1.0],[54868.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 260621.0]","[nan, 260621.0]","[1.0, 4.0]","[54868.0, 56289.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 260621.0, 260657.0]","[nan, 260621.0, 36.0]","[1.0, 4.0, 4.0]","[54868.0, 56289.0, 56325.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1013,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[59574.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1013,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 9']","[0.0, 1037875.0]","[nan, 1037875.0]","[2.0, 0.0]","[59574.0, 60649.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1015,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[53050.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 3834.0]","[nan, 3834.0]","[4.0, 4.0]","[53050.0, 56884.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 2']","[0.0, 3834.0, 418987.0]","[nan, 3834.0, 415153.0]","[4.0, 4.0, 2.0]","[53050.0, 56884.0, 40037.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1017,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[44686.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 3']","[0.0, 249991.0]","[nan, 249991.0]","[4.0, 0.0]","[44686.0, 35477.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 3', 'Value 4']","[0.0, 249991.0, 855110.0]","[nan, 249991.0, 605119.0]","[4.0, 0.0, 0.0]","[44686.0, 35477.0, 35796.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 3', 'Value 4', 'Value 4']","[0.0, 249991.0, 855110.0, 2140696.0]","[nan, 249991.0, 605119.0, 1285586.0]","[4.0, 0.0, 0.0, 1.0]","[44686.0, 35477.0, 35796.0, 25382.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 3', 'Value 4', 'Value 4', 'Value 4']","[0.0, 249991.0, 855110.0, 2140696.0, 2140716.0]","[nan, 249991.0, 605119.0, 1285586.0, 20.0]","[4.0, 0.0, 0.0, 1.0, 1.0]","[44686.0, 35477.0, 35796.0, 25382.0, 25402.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1018,1,['Assign seriousness'],['Value 14'],[0.0],[nan],[3.0],[32602.0],Value 1,Value 3,Value 1,Value 3,Value 3,Value 1,Value 1
Case 1018,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 14']","[0.0, 2709.0]","[nan, 2709.0]","[3.0, 3.0]","[32602.0, 35311.0]",Value 1,Value 3,Value 1,Value 3,Value 3,Value 1,Value 1
Case 1018,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 14', 'Value 14', 'Value 2']","[0.0, 2709.0, 429657.0]","[nan, 2709.0, 426948.0]","[3.0, 3.0, 1.0]","[32602.0, 35311.0, 30259.0]",Value 1,Value 3,Value 1,Value 3,Value 3,Value 1,Value 1
Case 1020,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[1.0],[29378.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 19.0]","[nan, 19.0]","[1.0, 1.0]","[29378.0, 29397.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 4', 'Value 4', 'Value 4']","[0.0, 19.0, 1149114.0]","[nan, 19.0, 1149095.0]","[1.0, 1.0, 0.0]","[29378.0, 29397.0, 55292.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4', 'Value 4']","[0.0, 19.0, 1149114.0, 1737608.0]","[nan, 19.0, 1149095.0, 588494.0]","[1.0, 1.0, 0.0, 0.0]","[29378.0, 29397.0, 55292.0, 38986.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1021,1,['Assign seriousness'],['Value 6'],[0.0],[nan],[1.0],[53976.0],Value 1,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,2,"['Assign seriousness', 'Take in charge ticket']","['Value 6', 'Value 2']","[0.0, 61710.0]","[nan, 61710.0]","[1.0, 2.0]","[53976.0, 29286.0]",Value 1,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 6', 'Value 2', 'Value 2']","[0.0, 61710.0, 155883.0]","[nan, 61710.0, 94173.0]","[1.0, 2.0, 3.0]","[53976.0, 29286.0, 37059.0]",Value 1,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1022,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[60940.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1022,2,"['Assign seriousness', 'Assign seriousness']","['Value 1', 'Value 1']","[0.0, 13.0]","[nan, 13.0]","[3.0, 3.0]","[60940.0, 60953.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1022,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1', 'Value 2']","[0.0, 13.0, 500645.0]","[nan, 13.0, 500632.0]","[3.0, 3.0, 2.0]","[60940.0, 60953.0, 43185.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1022,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 2', 'Value 2']","[0.0, 13.0, 500645.0, 582239.0]","[nan, 13.0, 500632.0, 81594.0]","[3.0, 3.0, 2.0, 3.0]","[60940.0, 60953.0, 43185.0, 38379.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1023,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[34770.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1023,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 2']","[0.0, 1395318.0]","[nan, 1395318.0]","[1.0, 3.0]","[34770.0, 47688.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1023,3,"['Assign seriousness', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 2']","[0.0, 1395318.0, 1395318.0]","[nan, 1395318.0, 1395318.0]","[1.0, 3.0, 3.0]","[34770.0, 47688.0, 47688.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1025,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[4.0],[34918.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1025,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[0.0, 36.0]","[nan, 36.0]","[4.0, 4.0]","[34918.0, 34954.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1025,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 2']","[0.0, 36.0, 621781.0]","[nan, 36.0, 621745.0]","[4.0, 4.0, 4.0]","[34918.0, 34954.0, 51899.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1025,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 2', 'Value 2']","[0.0, 36.0, 621781.0, 2872813.0]","[nan, 36.0, 621745.0, 2251032.0]","[4.0, 4.0, 4.0, 2.0]","[34918.0, 34954.0, 51899.0, 56531.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1025,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 2', 'Value 2', 'Value 2']","[0.0, 36.0, 621781.0, 2872813.0, 2872822.0]","[nan, 36.0, 621745.0, 2251032.0, 9.0]","[4.0, 4.0, 4.0, 2.0, 2.0]","[34918.0, 34954.0, 51899.0, 56531.0, 56540.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1026,1,['Assign seriousness'],['Value 14'],[0.0],[nan],[0.0],[57372.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1026,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 2']","[0.0, 578493.0]","[nan, 578493.0]","[0.0, 0.0]","[57372.0, 31065.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1026,3,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 14', 'Value 2', 'Value 4']","[0.0, 578493.0, 578511.0]","[nan, 578493.0, 18.0]","[0.0, 0.0, 0.0]","[57372.0, 31065.0, 31083.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1026,4,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade', 'Resolve ticket']","['Value 14', 'Value 2', 'Value 4', 'Value 4']","[0.0, 578493.0, 578511.0, 1901314.0]","[nan, 578493.0, 18.0, 1322803.0]","[0.0, 0.0, 0.0, 1.0]","[57372.0, 31065.0, 31083.0, 57886.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1027,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[48973.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1027,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 1104425.0]","[nan, 1104425.0]","[1.0, 0.0]","[48973.0, 30198.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1027,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 14']","[0.0, 1104425.0, 1129308.0]","[nan, 1104425.0, 24883.0]","[1.0, 0.0, 0.0]","[48973.0, 30198.0, 55081.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1027,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 14', 'Value 14']","[0.0, 1104425.0, 1129308.0, 2491023.0]","[nan, 1104425.0, 24883.0, 1361715.0]","[1.0, 0.0, 0.0, 2.0]","[48973.0, 30198.0, 55081.0, 34396.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1028,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[1.0],[30702.0],Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1028,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 6']","[0.0, 1476843.0]","[nan, 1476843.0]","[1.0, 4.0]","[30702.0, 38745.0]",Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1028,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 6', 'Value 6']","[0.0, 1476843.0, 1476864.0]","[nan, 1476843.0, 21.0]","[1.0, 4.0, 4.0]","[30702.0, 38745.0, 38766.0]",Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 1029,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[33928.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1029,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 10']","[0.0, 14230.0]","[nan, 14230.0]","[2.0, 2.0]","[33928.0, 48158.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1029,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 10', 'Value 1']","[0.0, 14230.0, 15324.0]","[nan, 14230.0, 1094.0]","[2.0, 2.0, 2.0]","[33928.0, 48158.0, 49252.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1030,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[3.0],[34852.0],Value 1,Value 3,Value 3,Value 2,Value 1,Value 6,Value 1
Case 1030,2,"['Assign seriousness', 'Assign seriousness']","['Value 2', 'Value 2']","[0.0, 13.0]","[nan, 13.0]","[3.0, 3.0]","[34852.0, 34865.0]",Value 1,Value 3,Value 3,Value 2,Value 1,Value 6,Value 1
Case 1030,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 13.0, 31.0]","[nan, 13.0, 18.0]","[3.0, 3.0, 3.0]","[34852.0, 34865.0, 34883.0]",Value 1,Value 3,Value 3,Value 2,Value 1,Value 6,Value 1
Case 1030,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Create SW anomaly']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 13.0, 31.0, 41.0]","[nan, 13.0, 18.0, 10.0]","[3.0, 3.0, 3.0, 3.0]","[34852.0, 34865.0, 34883.0, 34893.0]",Value 1,Value 3,Value 3,Value 2,Value 1,Value 6,Value 1
Case 1030,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 13.0, 31.0, 41.0, 1571079.0]","[nan, 13.0, 18.0, 10.0, 1571038.0]","[3.0, 3.0, 3.0, 3.0, 0.0]","[34852.0, 34865.0, 34883.0, 34893.0, 50731.0]",Value 1,Value 3,Value 3,Value 2,Value 1,Value 6,Value 1
Case 1035,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[0.0],[47998.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1035,2,"['Assign seriousness', 'Assign seriousness']","['Value 9', 'Value 2']","[0.0, 12163.0]","[nan, 12163.0]","[0.0, 0.0]","[47998.0, 60161.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1035,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 2', 'Value 2']","[0.0, 12163.0, 12172.0]","[nan, 12163.0, 9.0]","[0.0, 0.0, 0.0]","[47998.0, 60161.0, 60170.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
