case:concept:name,prefix_length,concept:name,org:resource,org:role,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,case:BudgetNumber,case:DeclarationNumber,case:Amount
declaration 86731,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 783.0, 184378.0, 626874.0]","[nan, 783.0, 183595.0, 442496.0]","[0.0, 0.0, 2.0, 0.0]","[41060.0, 41843.0, 52638.0, 63134.0]",budget 86566,declaration number 86732,113.86204717835876
declaration 86735,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[41426.0],budget 86566,declaration number 86736,134.4041690919802
declaration 86735,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 412.0]","[nan, 412.0]","[0.0, 0.0]","[41426.0, 41838.0]",budget 86566,declaration number 86736,134.4041690919802
declaration 86735,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 412.0, 184012.0]","[nan, 412.0, 183600.0]","[0.0, 0.0, 2.0]","[41426.0, 41838.0, 52638.0]",budget 86566,declaration number 86736,134.4041690919802
declaration 86735,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 412.0, 184012.0, 626508.0]","[nan, 412.0, 183600.0, 442496.0]","[0.0, 0.0, 2.0, 0.0]","[41426.0, 41838.0, 52638.0, 63134.0]",budget 86566,declaration number 86736,134.4041690919802
declaration 86816,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[53504.0],budget 86566,declaration number 86817,29.951677823270582
declaration 86816,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 21.0]","[nan, 21.0]","[0.0, 0.0]","[53504.0, 53525.0]",budget 86566,declaration number 86817,29.951677823270582
declaration 86816,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 21.0, 151967.0]","[nan, 21.0, 151946.0]","[0.0, 0.0, 2.0]","[53504.0, 53525.0, 32671.0]",budget 86566,declaration number 86817,29.951677823270582
declaration 86816,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 21.0, 151967.0, 614430.0]","[nan, 21.0, 151946.0, 462463.0]","[0.0, 0.0, 2.0, 0.0]","[53504.0, 53525.0, 32671.0, 63134.0]",budget 86566,declaration number 86817,29.951677823270582
declaration 86720,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[57441.0],budget 86566,declaration number 86721,105.60407429637942
declaration 86720,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 3.0]","[nan, 3.0]","[0.0, 0.0]","[57441.0, 57444.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING']","[0.0, 3.0, 76266.0]","[nan, 3.0, 76263.0]","[0.0, 0.0, 1.0]","[57441.0, 57444.0, 47307.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE']","[0.0, 3.0, 76266.0, 694461.0]","[nan, 3.0, 76263.0, 618195.0]","[0.0, 0.0, 1.0, 1.0]","[57441.0, 57444.0, 47307.0, 60702.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,5,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration REJECTED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'PRE_APPROVER']","[0.0, 3.0, 76266.0, 694461.0, 694473.0]","[nan, 3.0, 76263.0, 618195.0, 12.0]","[0.0, 0.0, 1.0, 1.0, 1.0]","[57441.0, 57444.0, 47307.0, 60702.0, 60714.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,6,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration REJECTED', 'Declaration REJECTED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'PRE_APPROVER', 'EMPLOYEE']","[0.0, 3.0, 76266.0, 694461.0, 694473.0, 850937.0]","[nan, 3.0, 76263.0, 618195.0, 12.0, 156464.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 3.0]","[57441.0, 57444.0, 47307.0, 60702.0, 60714.0, 44378.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,7,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration REJECTED', 'Declaration REJECTED', 'Declaration SUBMITTED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'PRE_APPROVER', 'EMPLOYEE', 'EMPLOYEE']","[0.0, 3.0, 76266.0, 694461.0, 694473.0, 850937.0, 864955.0]","[nan, 3.0, 76263.0, 618195.0, 12.0, 156464.0, 14018.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 3.0]","[57441.0, 57444.0, 47307.0, 60702.0, 60714.0, 44378.0, 58396.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,8,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration REJECTED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'PRE_APPROVER', 'EMPLOYEE', 'EMPLOYEE', 'PRE_APPROVER']","[0.0, 3.0, 76266.0, 694461.0, 694473.0, 850937.0, 864955.0, 864985.0]","[nan, 3.0, 76263.0, 618195.0, 12.0, 156464.0, 14018.0, 30.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 3.0, 3.0]","[57441.0, 57444.0, 47307.0, 60702.0, 60714.0, 44378.0, 58396.0, 58426.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,9,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration REJECTED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'PRE_APPROVER', 'EMPLOYEE', 'EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR']","[0.0, 3.0, 76266.0, 694461.0, 694473.0, 850937.0, 864955.0, 864985.0, 1184136.0]","[nan, 3.0, 76263.0, 618195.0, 12.0, 156464.0, 14018.0, 30.0, 319151.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 3.0, 3.0, 0.0]","[57441.0, 57444.0, 47307.0, 60702.0, 60714.0, 44378.0, 58396.0, 58426.0, 31977.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,10,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration REJECTED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'PRE_APPROVER', 'EMPLOYEE', 'EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 3.0, 76266.0, 694461.0, 694473.0, 850937.0, 864955.0, 864985.0, 1184136.0, 1199200.0]","[nan, 3.0, 76263.0, 618195.0, 12.0, 156464.0, 14018.0, 30.0, 319151.0, 15064.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 3.0, 3.0, 0.0, 0.0]","[57441.0, 57444.0, 47307.0, 60702.0, 60714.0, 44378.0, 58396.0, 58426.0, 31977.0, 47041.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86720,11,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration REJECTED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'PRE_APPROVER', 'EMPLOYEE', 'EMPLOYEE', 'PRE_APPROVER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 3.0, 76266.0, 694461.0, 694473.0, 850937.0, 864955.0, 864985.0, 1184136.0, 1199200.0, 1474398.0]","[nan, 3.0, 76263.0, 618195.0, 12.0, 156464.0, 14018.0, 30.0, 319151.0, 15064.0, 275198.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 3.0, 3.0, 0.0, 0.0, 3.0]","[57441.0, 57444.0, 47307.0, 60702.0, 60714.0, 44378.0, 58396.0, 58426.0, 31977.0, 47041.0, 63039.0]",budget 86566,declaration number 86721,105.60407429637942
declaration 86824,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[39127.0],budget 86566,declaration number 86825,190.4269720072961
declaration 86824,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 177240.0]","[nan, 177240.0]","[1.0, 3.0]","[39127.0, 43567.0]",budget 86566,declaration number 86825,190.4269720072961
declaration 86824,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 177240.0, 530982.0]","[nan, 177240.0, 353742.0]","[1.0, 3.0, 0.0]","[39127.0, 43567.0, 51709.0]",budget 86566,declaration number 86825,190.4269720072961
declaration 86824,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 177240.0, 530982.0, 801582.0]","[nan, 177240.0, 353742.0, 270600.0]","[1.0, 3.0, 0.0, 3.0]","[39127.0, 43567.0, 51709.0, 63109.0]",budget 86566,declaration number 86825,190.4269720072961
declaration 86828,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[42399.0],budget 86566,declaration number 86829,26.525495718025063
declaration 86828,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 6.0]","[nan, 6.0]","[1.0, 1.0]","[42399.0, 42405.0]",budget 86566,declaration number 86829,26.525495718025063
declaration 86828,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 6.0, 13956.0]","[nan, 6.0, 13950.0]","[1.0, 1.0, 1.0]","[42399.0, 42405.0, 56355.0]",budget 86566,declaration number 86829,26.525495718025063
declaration 86828,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 6.0, 13956.0, 193483.0]","[nan, 6.0, 13950.0, 179527.0]","[1.0, 1.0, 1.0, 3.0]","[42399.0, 42405.0, 56355.0, 63082.0]",budget 86566,declaration number 86829,26.525495718025063
declaration 86750,1,['Declaration SAVED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[49295.0],budget 86566,UNKNOWN,0.0
declaration 86752,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[50942.0],budget 86566,declaration number 86753,33.479724779377364
declaration 86752,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 74.0]","[nan, 74.0]","[1.0, 1.0]","[50942.0, 51016.0]",budget 86566,declaration number 86753,33.479724779377364
declaration 86752,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 74.0, 1282918.0]","[nan, 74.0, 1282844.0]","[1.0, 1.0, 2.0]","[50942.0, 51016.0, 37860.0]",budget 86566,declaration number 86753,33.479724779377364
declaration 86752,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 74.0, 1282918.0, 1740153.0]","[nan, 74.0, 1282844.0, 457235.0]","[1.0, 1.0, 2.0, 0.0]","[50942.0, 51016.0, 37860.0, 63095.0]",budget 86566,declaration number 86753,33.479724779377364
declaration 86756,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[52375.0],budget 86566,declaration number 86757,44.37458105163963
declaration 86756,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 10.0]","[nan, 10.0]","[1.0, 1.0]","[52375.0, 52385.0]",budget 86566,declaration number 86757,44.37458105163963
declaration 86756,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 10.0, 96170.0]","[nan, 10.0, 96160.0]","[1.0, 1.0, 2.0]","[52375.0, 52385.0, 62145.0]",budget 86566,declaration number 86757,44.37458105163963
declaration 86756,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 10.0, 96170.0, 529159.0]","[nan, 10.0, 96160.0, 432989.0]","[1.0, 1.0, 2.0, 0.0]","[52375.0, 52385.0, 62145.0, 63134.0]",budget 86566,declaration number 86757,44.37458105163963
declaration 86836,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[52673.0],budget 86566,declaration number 86837,24.74736250956825
declaration 86836,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 7.0]","[nan, 7.0]","[1.0, 1.0]","[52673.0, 52680.0]",budget 86566,declaration number 86837,24.74736250956825
declaration 86836,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 7.0, 95929.0]","[nan, 7.0, 95922.0]","[1.0, 1.0, 2.0]","[52673.0, 52680.0, 62202.0]",budget 86566,declaration number 86837,24.74736250956825
declaration 86836,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 7.0, 95929.0, 528861.0]","[nan, 7.0, 95922.0, 432932.0]","[1.0, 1.0, 2.0, 0.0]","[52673.0, 52680.0, 62202.0, 63134.0]",budget 86566,declaration number 86837,24.74736250956825
declaration 86764,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[68518.0],budget 86566,declaration number 86765,7.898847603204911
declaration 86764,2,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR']","[0.0, 265.0]","[nan, 265.0]","[1.0, 1.0]","[68518.0, 68783.0]",budget 86566,declaration number 86765,7.898847603204911
declaration 86764,3,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING']","[0.0, 265.0, 143180.0]","[nan, 265.0, 142915.0]","[1.0, 1.0, 3.0]","[68518.0, 68783.0, 38898.0]",budget 86566,declaration number 86765,7.898847603204911
declaration 86764,4,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE']","[0.0, 265.0, 143180.0, 1812096.0]","[nan, 265.0, 142915.0, 1668916.0]","[1.0, 1.0, 3.0, 1.0]","[68518.0, 68783.0, 38898.0, 66214.0]",budget 86566,declaration number 86765,7.898847603204911
declaration 86764,5,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'SUPERVISOR']","[0.0, 265.0, 143180.0, 1812096.0, 1812099.0]","[nan, 265.0, 142915.0, 1668916.0, 3.0]","[1.0, 1.0, 3.0, 1.0, 1.0]","[68518.0, 68783.0, 38898.0, 66214.0, 66217.0]",budget 86566,declaration number 86765,7.898847603204911
declaration 86764,6,"['Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Declaration REJECTED', 'Declaration SUBMITTED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'SUPERVISOR', 'MISSING', 'EMPLOYEE', 'SUPERVISOR', 'UNDEFINED']","[0.0, 265.0, 143180.0, 1812096.0, 1812099.0, 2295855.0]","[nan, 265.0, 142915.0, 1668916.0, 3.0, 483756.0]","[1.0, 1.0, 3.0, 1.0, 1.0, 0.0]","[68518.0, 68783.0, 38898.0, 66214.0, 66217.0, 31573.0]",budget 86566,declaration number 86765,7.898847603204911
