CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,VariantIndex,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 6,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 2697.0]","[nan, 2697.0]","[1.0, 1.0]","[54838.0, 57535.0]",1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 6,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 2697.0, 67248.0]","[nan, 2697.0, 64551.0]","[1.0, 1.0, 2.0]","[54838.0, 57535.0, 35686.0]",1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 6,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 2697.0, 67248.0, 3978418.0]","[nan, 2697.0, 64551.0, 3911170.0]","[1.0, 1.0, 2.0, 5.0]","[54838.0, 57535.0, 35686.0, 58856.0]",1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 7,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[38855.0],23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,2,"['Assign seriousness', 'Assign seriousness']","['Value 1', 'Value 1']","[0.0, 78.0]","[nan, 78.0]","[2.0, 2.0]","[38855.0, 38933.0]",23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,3,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness']","['Value 1', 'Value 1', 'Value 2']","[0.0, 78.0, 1372353.0]","[nan, 78.0, 1372275.0]","[2.0, 2.0, 4.0]","[38855.0, 38933.0, 28808.0]",23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,4,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1', 'Value 2', 'Value 11']","[0.0, 78.0, 1372353.0, 1632632.0]","[nan, 78.0, 1372275.0, 260279.0]","[2.0, 2.0, 4.0, 0.0]","[38855.0, 38933.0, 28808.0, 29887.0]",23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,5,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 2', 'Value 11', 'Value 11']","[0.0, 78.0, 1372353.0, 1632632.0, 1634984.0]","[nan, 78.0, 1372275.0, 260279.0, 2352.0]","[2.0, 2.0, 4.0, 0.0, 0.0]","[38855.0, 38933.0, 28808.0, 29887.0, 32239.0]",23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,6,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 1', 'Value 2', 'Value 11', 'Value 11', 'Value 3']","[0.0, 78.0, 1372353.0, 1632632.0, 1634984.0, 2931002.0]","[nan, 78.0, 1372275.0, 260279.0, 2352.0, 1296018.0]","[2.0, 2.0, 4.0, 0.0, 0.0, 1.0]","[38855.0, 38933.0, 28808.0, 29887.0, 32239.0, 32257.0]",23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 8,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[30632.0],1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 6']","[0.0, 3313.0]","[nan, 3313.0]","[3.0, 3.0]","[30632.0, 33945.0]",1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 6', 'Value 6']","[0.0, 3313.0, 4454.0]","[nan, 3313.0, 1141.0]","[3.0, 3.0, 3.0]","[30632.0, 33945.0, 35086.0]",1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 6', 'Value 6', 'Value 5']","[0.0, 3313.0, 4454.0, 5098195.0]","[nan, 3313.0, 1141.0, 5093741.0]","[3.0, 3.0, 3.0, 6.0]","[30632.0, 33945.0, 35086.0, 31227.0]",1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 10,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[2.0],[31820.0],1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 3196606.0]","[nan, 3196606.0]","[2.0, 4.0]","[31820.0, 31626.0]",1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 3196606.0, 3196613.0]","[nan, 3196606.0, 7.0]","[2.0, 4.0, 4.0]","[31820.0, 31626.0, 31633.0]",1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 3196606.0, 3196613.0, 4489038.0]","[nan, 3196606.0, 7.0, 1292425.0]","[2.0, 4.0, 4.0, 5.0]","[31820.0, 31626.0, 31633.0, 28058.0]",1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 11,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[2.0],[55481.0],1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 53.0]","[nan, 53.0]","[2.0, 2.0]","[55481.0, 55534.0]",1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4']","[0.0, 53.0, 66662.0]","[nan, 53.0, 66609.0]","[2.0, 2.0, 3.0]","[55481.0, 55534.0, 35743.0]",1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 4', 'Value 4', 'Value 5']","[0.0, 53.0, 66662.0, 2678750.0]","[nan, 53.0, 66609.0, 2612088.0]","[2.0, 2.0, 3.0, 5.0]","[55481.0, 55534.0, 35743.0, 55831.0]",1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[0.0],[38854.0],1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 2']","[0.0, 15375.0]","[nan, 15375.0]","[0.0, 0.0]","[38854.0, 54229.0]",1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 2', 'Value 2']","[0.0, 15375.0, 1369564.0]","[nan, 15375.0, 1354189.0]","[0.0, 0.0, 2.0]","[38854.0, 54229.0, 26018.0]",1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 2', 'Value 2', 'Value 3']","[0.0, 15375.0, 1369564.0, 2665579.0]","[nan, 15375.0, 1354189.0, 1296015.0]","[0.0, 0.0, 2.0, 3.0]","[38854.0, 54229.0, 26018.0, 26033.0]",1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 13,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[0.0],[35269.0],1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 1380894.0]","[nan, 1380894.0]","[0.0, 2.0]","[35269.0, 33763.0]",1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4']","[0.0, 1380894.0, 1557707.0]","[nan, 1380894.0, 176813.0]","[0.0, 2.0, 4.0]","[35269.0, 33763.0, 37776.0]",1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 4', 'Value 4', 'Value 3']","[0.0, 1380894.0, 1557707.0, 2853722.0]","[nan, 1380894.0, 176813.0, 1296015.0]","[0.0, 2.0, 4.0, 5.0]","[35269.0, 33763.0, 37776.0, 37791.0]",1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 14,1,['Assign seriousness'],['Value 13'],[0.0],[nan],[1.0],[49628.0],1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 13']","[0.0, 14.0]","[nan, 14.0]","[1.0, 1.0]","[49628.0, 49642.0]",1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 13', 'Value 13', 'Value 13']","[0.0, 14.0, 329.0]","[nan, 14.0, 315.0]","[1.0, 1.0, 1.0]","[49628.0, 49642.0, 49957.0]",1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 13', 'Value 13', 'Value 13', 'Value 5']","[0.0, 14.0, 329.0, 2678593.0]","[nan, 14.0, 315.0, 2678264.0]","[1.0, 1.0, 1.0, 4.0]","[49628.0, 49642.0, 49957.0, 49821.0]",1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[51412.0],12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 7035.0]","[nan, 7035.0]","[2.0, 2.0]","[51412.0, 58447.0]",12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,3,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket']","['Value 1', 'Value 9', 'Value 1']","[0.0, 7035.0, 7625.0]","[nan, 7035.0, 590.0]","[2.0, 2.0, 2.0]","[51412.0, 58447.0, 59037.0]",12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,4,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 1', 'Value 9']","[0.0, 7035.0, 7625.0, 70246.0]","[nan, 7035.0, 590.0, 62621.0]","[2.0, 2.0, 2.0, 3.0]","[51412.0, 58447.0, 59037.0, 35258.0]",12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,5,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 9', 'Value 1', 'Value 9', 'Value 5']","[0.0, 7035.0, 7625.0, 70246.0, 2678607.0]","[nan, 7035.0, 590.0, 62621.0, 2608361.0]","[2.0, 2.0, 2.0, 3.0, 5.0]","[51412.0, 58447.0, 59037.0, 35258.0, 51619.0]",12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 17,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[25847.0],1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 1674425.0]","[nan, 1674425.0]","[4.0, 2.0]","[25847.0, 58672.0]",1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 2']","[0.0, 1674425.0, 2269250.0]","[nan, 1674425.0, 594825.0]","[4.0, 2.0, 2.0]","[25847.0, 58672.0, 48697.0]",1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 2', 'Value 2', 'Value 5']","[0.0, 1674425.0, 2269250.0, 3574028.0]","[nan, 1674425.0, 594825.0, 1304778.0]","[4.0, 2.0, 2.0, 3.0]","[25847.0, 58672.0, 48697.0, 57475.0]",1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 20,1,['Assign seriousness'],['Value 14'],[0.0],[nan],[3.0],[25837.0],2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 9']","[0.0, 2269344.0]","[nan, 2269344.0]","[3.0, 1.0]","[25837.0, 48781.0]",2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 14', 'Value 9', 'Value 9']","[0.0, 2269344.0, 2771766.0]","[nan, 2269344.0, 502422.0]","[3.0, 1.0, 0.0]","[25837.0, 48781.0, 32803.0]",2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 14', 'Value 9', 'Value 9', 'Value 9']","[0.0, 2269344.0, 2771766.0, 3549685.0]","[nan, 2269344.0, 502422.0, 777919.0]","[3.0, 1.0, 0.0, 2.0]","[25837.0, 48781.0, 32803.0, 33122.0]",2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 14', 'Value 9', 'Value 9', 'Value 9', 'Value 3']","[0.0, 2269344.0, 2771766.0, 3549685.0, 4845698.0]","[nan, 2269344.0, 502422.0, 777919.0, 1296013.0]","[3.0, 1.0, 0.0, 2.0, 3.0]","[25837.0, 48781.0, 32803.0, 33122.0, 33135.0]",2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[0.0],[28144.0],2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 10.0]","[nan, 10.0]","[0.0, 0.0]","[28144.0, 28154.0]",2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 1']","[0.0, 10.0, 3775.0]","[nan, 10.0, 3765.0]","[0.0, 0.0, 0.0]","[28144.0, 28154.0, 31919.0]",2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1', 'Value 1']","[0.0, 10.0, 3775.0, 3032179.0]","[nan, 10.0, 3765.0, 3028404.0]","[0.0, 0.0, 0.0, 0.0]","[28144.0, 28154.0, 31919.0, 36323.0]",2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 1', 'Value 1', 'Value 1', 'Value 1', 'Value 3']","[0.0, 10.0, 3775.0, 3032179.0, 4328189.0]","[nan, 10.0, 3765.0, 3028404.0, 1296010.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[28144.0, 28154.0, 31919.0, 36323.0, 36333.0]",2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 23,1,['Assign seriousness'],['Value 13'],[0.0],[nan],[2.0],[59603.0],1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 2']","[0.0, 1266771.0]","[nan, 1266771.0]","[2.0, 3.0]","[59603.0, 30374.0]",1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 13', 'Value 2', 'Value 1']","[0.0, 1266771.0, 2935050.0]","[nan, 1266771.0, 1668279.0]","[2.0, 3.0, 1.0]","[59603.0, 30374.0, 57053.0]",1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 13', 'Value 2', 'Value 1', 'Value 3']","[0.0, 1266771.0, 2935050.0, 4231063.0]","[nan, 1266771.0, 1668279.0, 1296013.0]","[2.0, 3.0, 1.0, 2.0]","[59603.0, 30374.0, 57053.0, 57066.0]",1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 26,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[3.0],[26927.0],3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 192.0]","[nan, 192.0]","[3.0, 3.0]","[26927.0, 27119.0]",3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 2', 'Value 2', 'Value 2']","[0.0, 192.0, 4254.0]","[nan, 192.0, 4062.0]","[3.0, 3.0, 3.0]","[26927.0, 27119.0, 31181.0]",3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 192.0, 4254.0, 12701.0]","[nan, 192.0, 4062.0, 8447.0]","[3.0, 3.0, 3.0, 3.0]","[26927.0, 27119.0, 31181.0, 39628.0]",3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 192.0, 4254.0, 12701.0, 12714.0]","[nan, 192.0, 4062.0, 8447.0, 13.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[26927.0, 27119.0, 31181.0, 39628.0, 39641.0]",3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 192.0, 4254.0, 12701.0, 12714.0, 3032519.0]","[nan, 192.0, 4062.0, 8447.0, 13.0, 3019805.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[26927.0, 27119.0, 31181.0, 39628.0, 39641.0, 35446.0]",3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 27,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[50536.0],1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 19.0]","[nan, 19.0]","[3.0, 3.0]","[50536.0, 50555.0]",1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 13']","[0.0, 19.0, 1537351.0]","[nan, 19.0, 1537332.0]","[3.0, 3.0, 0.0]","[50536.0, 50555.0, 32687.0]",1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 1', 'Value 13', 'Value 5']","[0.0, 19.0, 1537351.0, 2833368.0]","[nan, 19.0, 1537332.0, 1296017.0]","[3.0, 3.0, 0.0, 1.0]","[50536.0, 50555.0, 32687.0, 32704.0]",1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 28,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[4.0],[57239.0],55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 9']","[0.0, 6.0]","[nan, 6.0]","[4.0, 4.0]","[57239.0, 57245.0]",55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
